Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[Android]; Country[Ireland]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
irishmirror.ie,1400000,528571.4285714288,60.65573770491803%
dublinlive.ie,785714,314285.7142857144,66.6666666666667%
bbc.com,571429,-0.00000000023283064365386963,-4.074536263942719E-14%
Vita Mahjong,557143,14285.714285714435,2.6315789473684497%
theguardian.com,414286,-57142.85714285687,-12.12121212121207%
Solitaire - Classic Card Games,385714,-185714.2857142858,-32.500000000000014%
Sudoku - Classic Sudoku Puzzle,357143,71428.57142857136,24.999999999999975%
rsvplive.ie,357143,228571.42857142852,177.77777777777771%
daft.ie,342857,128571.42857142846,59.99999999999994%
Words of Wonders: Crossword,257143,-28571.42857142855,-9.999999999999991%
Zen Word® - Relax Puzzle Game,257143,-71428.57142857133,-21.739130434782584%
Grindr - Gay Dating & Chat,242857,-28571.42857142858,-10.526315789473687%
Meowdoku: Brain Puzzle Games,214286,0.0,0.0%
dailymail.com,214286,0.0,0.0%
corkbeo.ie,200000,114285.7142857143,133.33333333333334%
Solitaire Associations Journey,185714,-85714.28571428568,-31.578947368421037%
dailymotion.com,185714,-71428.57142857145,-27.77777777777778%
joe.ie,185714,-14285.71428571429,-7.142857142857146%
TuneIn Radio: Music & Sports,171429,-28571.42857142858,-14.285714285714288%
en.as.com,171429,171428.57142857145,NA
Goods Puzzle: Sort Challenge™,171429,0.0,0.0%
Mahjong Blast,171429,114285.7142857143,200.00000000000003%
Offline Games - No Wifi Games,171429,42857.142857142855,33.33333333333333%
dailystar.co.uk,171429,114285.71428571428,199.99999999999997%
Tile Explorer - Triple Match,157143,-242857.14285714272,-60.7142857142857%
Opera Mini: Fast Web Browser,157143,0.0,0.0%
Solitaire,157143,42857.142857142855,37.49999999999999%
express.co.uk,157143,71428.57142857145,83.33333333333336%
Wordscapes: Word puzzle game,157143,85714.28571428572,120.00000000000001%
thesun.ie,157143,57142.85714285716,57.14285714285717%
Chai: Chat AI Platform,142857,28571.428571428565,24.99999999999999%
vinted.ie,142857,14285.71428571429,11.111111111111114%
68bb3d61de19c523476493ea,142857,14285.714285714275,11.1111111111111%
Tile Club - Match Puzzle Games,128571,28571.42857142858,28.571428571428577%
Screwdom 3D,128571,100000.0,350.0%
Scrabble® GO – Fun with Words!,114286,-14285.71428571429,-11.111111111111112%
tripadvisor.ie,114286,85714.28571428574,300.0000000000001%
Unknown,114286,0.0,0.0%
genius.com,114286,0.0,0.0%
LiveScore: Live Sports Scores,114286,-342857.1428571428,-74.99999999999999%
Arrows GO!,114286,-0.000000000014551915228366852,-1.2732925824820994E-14%
timesofindia.indiatimes.com,114286,71428.57142857143,166.66666666666669%
Jigsawcard Solitaire Puzzle,114286,71428.57142857143,166.66666666666669%
Pocket FM: Audio Series,114286,71428.57142857143,166.66666666666669%
mirror.co.uk,100000,-85714.28571428572,-46.15384615384615%
yahoo.com,100000,71428.57142857145,250.00000000000006%
ign.com,100000,-14285.71428571429,-12.500000000000002%
Arrows – Puzzle Escape,100000,-85714.28571428572,-46.15384615384615%
Happy Color®: Color by Number,100000,42857.14285714287,75.00000000000003%
Jigsawscapes® - Jigsaw Puzzles,100000,-85714.28571428572,-46.15384615384615%
MyFitnessPal: Calorie Counter,100000,71428.57142857142,249.99999999999994%
Word Search Explorer,85714,42857.14285714287,100.00000000000004%
collider.com,85714,57142.85714285715,200.00000000000003%
independent.co.uk,85714,-14285.71428571429,-14.285714285714288%
Blockudoku®: Block Puzzle Game,85714,42857.14285714287,100.00000000000004%
ladbible.com,85714,85714.28571428572,NA
manchestereveningnews.co.uk,85714,42857.14285714287,100.00000000000004%
"Character AI: Chat, Talk, Text",85714,14285.71428571429,20.000000000000007%
sportsjoe.ie,85714,42857.14285714287,100.00000000000004%
galwaybeo.ie,85714,28571.42857142858,50.000000000000014%
news.sky.com,85714,85714.28571428572,NA
Get Color - Water Sort Puzzle,85714,57142.85714285714,199.99999999999997%
Crossword Master - Word Puzzle,85714,-0.000000000014551915228366852,-1.697723443309466E-14%
Flashscore: Live Scores & News,71429,-699999.9999999999,-90.74074074074073%
FotMob - Soccer Live Scores,71429,-200000.00000000006,-73.68421052631581%
Kik — Messaging & Chat App,71429,0.0,0.0%
Pocket Sort: Coin Merge Puzzle,71429,-57142.85714285716,-44.44444444444445%
Search It - Hidden Objects,71429,42857.14285714286,150.00000000000003%
Talkie: Creative AI Community,71429,28571.42857142858,66.6666666666667%
Wattpad - Read & Write Stories,71429,-57142.857142857145,-44.44444444444444%
Tinder Dating App: Chat & Date,71429,-14285.714285714275,-16.666666666666654%
Yahoo Mail: Email & Planner,71429,28571.42857142858,66.6666666666667%
amomedia.com,71429,0.0,0.0%
donedeal.ie,71429,-28571.42857142858,-28.571428571428577%
ok.co.uk,71429,57142.857142857145,400.0%
walesonline.co.uk,71429,57142.857142857145,400.0%
worldle.teuteuf.fr,71429,28571.42857142858,66.6666666666667%
Block Blast!,71429,-14285.71428571429,-16.66666666666667%
Color Block Jam,71429,28571.42857142858,66.6666666666667%
Bubble Shooter - Classic Pop,57143,42857.142857142855,299.99999999999994%
Classic Solitaire: Card Games,57143,42857.142857142855,299.99999999999994%
Color Slide - Hexa Puzzle,57143,42857.142857142855,299.99999999999994%
Crossmath® - Math Puzzle Games,57143,57142.857142857145,NA
Emochi: Chat With Character,57143,-57142.857142857145,-50.0%
Crossword Go!,57143,-28571.42857142858,-33.33333333333334%
Find Hidden Objects - Spot It!,57143,14285.71428571429,33.33333333333335%
"GoodNovel - Booktok, Stories",57143,42857.142857142855,299.99999999999994%
Goods Puzzle: 3D Sorting Games,57143,-28571.42857142858,-33.33333333333334%
Ludo Club - Fun Dice Game,57143,-42857.14285714287,-42.85714285714287%
My Perfect Hotel,57143,57142.857142857145,NA
Podcast Player,57143,-28571.428571428565,-33.33333333333333%
Vinted: Shop & sell pre-loved,57143,14285.71428571429,33.33333333333335%
Tile Clear - Puzzle Game,57143,42857.142857142855,299.99999999999994%
Word Trip - Word Puzzle Game,57143,42857.142857142855,299.99999999999994%
boxingnewsonline.net,57143,42857.142857142855,299.99999999999994%
extra.ie,57143,57142.857142857145,NA
hoganstand.com,57143,28571.428571428572,100.0%
2248 - Numbers Game 2048,57143,42857.142857142855,299.99999999999994%
Race Master 3D: Car Racing,57143,14285.71428571429,33.33333333333335%
Spider Solitaire: Card Games,57143,14285.71428571429,33.33333333333335%
Alarmy - Alarm Clock & Sleep,57143,42857.142857142855,299.99999999999994%
"Block Color Mania, Puzzle Game",57143,28571.428571428572,100.0%
Brilliant Sort™ Diamond Puzzle,57143,42857.142857142855,299.99999999999994%
Arrow Puzzle: Tap Puzzle Games,42857,28571.42857142857,199.99999999999997%
Audiomack: Music Downloader,42857,14285.714285714283,49.999999999999986%
Block Craft 3D：Building Game,42857,14285.714285714283,49.999999999999986%
Block Crush!,42857,-71428.57142857145,-62.50000000000001%
Calm Solitaire: Classic Card,42857,42857.142857142855,NA
Daily Themed Crossword Puzzles,42857,-42857.14285714287,-50.000000000000014%
Differences - Find & Spot It,42857,0.0,0.0%
Idle Bank Tycoon: Money Empire,42857,42857.142857142855,NA
DramaBox - Stream Drama Shorts,42857,-14285.71428571429,-25.000000000000007%
Hexa 3D Game: Dream Hex® Sort,42857,14285.714285714283,49.999999999999986%
Jewel Coloring,42857,-57142.857142857145,-57.142857142857146%
Jigsaw Drop: Solitaire Puzzle,42857,28571.42857142857,199.99999999999997%
Mahjong Club - Solitaire Game,42857,-14285.71428571429,-25.000000000000007%
Meetup: Social Events & Groups,42857,0.0,0.0%
Melon Sandbox,42857,28571.42857142857,199.99999999999997%
NetShort - Popular Dramas & TV,42857,14285.714285714283,49.999999999999986%
Mini Soccer Star,42857,28571.42857142857,199.99999999999997%
Number Match - Number Games,42857,-42857.142857142855,-50.0%
PolyBuzz: Chat with AI Friends,42857,-14285.71428571429,-25.000000000000007%
Pyramid Solitaire - Card Games,42857,42857.142857142855,NA
Radio Ireland - FM Radio,42857,-71428.57142857145,-62.50000000000001%
Snake Clash!,42857,14285.714285714283,49.999999999999986%
Snake.io - Fun Snake .io Games,42857,0.0,0.0%
Video Downloader,42857,28571.42857142857,199.99999999999997%
Water Sort! Color Sort Puzzle,42857,14285.714285714283,49.999999999999986%
Woodle Screw™ Pin Nuts & Bolts,42857,28571.42857142857,199.99999999999997%
Woodoku - Wood Block Puzzle,42857,42857.142857142855,NA
Wool Crush™,42857,-14285.71428571429,-25.000000000000007%
Word Collect - Word Games Fun,42857,28571.42857142857,199.99999999999997%
Wordle!,42857,28571.42857142857,199.99999999999997%
Word Master,42857,28571.42857142857,199.99999999999997%
Words With Friends Word Game,42857,-42857.14285714287,-50.000000000000014%
belfastlive.co.uk,42857,14285.714285714283,49.999999999999986%
brightside.me,42857,28571.42857142857,199.99999999999997%
hollywoodreporter.com,42857,28571.42857142857,199.99999999999997%
merriam-webster.com,42857,-57142.85714285716,-57.14285714285715%
reportingly.com,42857,14285.714285714283,49.999999999999986%
touch.adverts.ie,42857,0.0,0.0%
3D Bolt Master®: Screw Master®,42857,-28571.428571428565,-39.99999999999999%
wordplays.com,42857,0.0,0.0%
Spider Solitaire,42857,-14285.71428571429,-25.000000000000007%
skysports.com,42857,0.0,0.0%
Tower War - Tactical Conquest,42857,-14285.71428571429,-25.000000000000007%
si.com,42857,28571.42857142857,199.99999999999997%
Paint by Number: Coloring Game,28571,-14285.714285714283,-33.33333333333333%
businessinsider.com,28571,-42857.14285714286,-60.00000000000001%
FreeCell Solitaire - Card Game,28571,28571.428571428572,NA
Dublin Live,28571,28571.428571428572,NA
FreeCell Solitaire: Card Games,28571,14285.714285714286,100.0%
Gecko Out,28571,14285.714285714286,100.0%
Goodreads: Book Tracker & More,28571,14285.714285714286,100.0%
Goods 3D Sorting: Match Games,28571,28571.428571428572,NA
Goods Jam: Goods Sorting,28571,28571.428571428572,NA
Goods Sort™ - Sorting Games,28571,0.0,0.0%
Idle Zombie Miner: Gold Tycoon,28571,-100000.00000000003,-77.7777777777778%
Hill Climb Racing 2,28571,-28571.428571428572,-50.0%
Hotpot Loop: Food Sort,28571,0.0,0.0%
Jigsaw Puzzle Art: Relax Book,28571,14285.714285714286,100.0%
Jigsaw Puzzles - Puzzle Games,28571,14285.714285714286,100.0%
Jigsaw Puzzles HD Puzzle Games,28571,-28571.428571428572,-50.0%
Killer Sudoku by Sudoku.com,28571,14285.714285714286,100.0%
Ludo STAR: Online Dice Game,28571,28571.428571428572,NA
Mahjong Triple - Match 3 Tile,28571,14285.714285714286,100.0%
Mahjong Pair: Matching Puzzle,28571,28571.428571428572,NA
Memory Color - Paint by Number,28571,28571.428571428572,NA
Money Sort,28571,14285.714285714286,100.0%
My Singing Monsters,28571,28571.428571428572,NA
My Sticker Room - Decor Game,28571,28571.428571428572,NA
Nonogram.com - Puzzle Games,28571,-28571.428571428572,-50.0%
OneFootball Live Soccer scores,28571,28571.428571428572,NA
Pony World: Dress Up Magic,28571,28571.428571428572,NA
Pregnancy Tracker & Baby App,28571,14285.714285714286,100.0%
