Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[iOS]; Country[Qatar]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
imo-International Calls & Chat,5957143,3028571.428571429,103.41463414634153%
Block Blast！,2300000,-328571.42857142864,-12.500000000000004%
Mahjong Blast,871429,114285.71428571397,15.094339622641469%
Vita Mahjong,857143,14285.714285714435,1.6949152542373058%
Turbo VPN Private Browser,742857,371428.5714285716,100.00000000000006%
VPN - Super Unlimited Proxy,714286,142857.14285714272,24.999999999999975%
Goods Puzzle: Sort Challenge,600000,-228571.42857142875,-27.586206896551747%
Toon Blast,571429,28571.428571428638,5.263157894736855%
Tile Explorer: Tiles Clear!,485714,-0.00000000005820766091346741,-1.1983930188066823E-14%
DramaBox - Stream Drama Shorts,457143,185714.28571428545,68.42105263157883%
VPN Proxy Master - Super VPN,442857,257142.85714285698,138.46153846153837%
Ludo STAR,442857,271428.57142857113,158.33333333333314%
Wool Crush™-Escape Traffic Jam,414286,257142.85714285693,163.63636363636348%
"Character AI: Chat, Talk, Text",371429,-42857.142857142724,-10.344827586206868%
SkyPhone - Voice & Video Calls,342857,71428.57142857136,26.31578947368418%
Video Lite,342857,14285.714285714319,4.347826086956532%
Arrows – Puzzle Escape,342857,114285.71428571417,49.99999999999994%
Block Crush！,342857,-14285.714285714435,-4.000000000000042%
Block Craft 3D: Building Games,300000,214285.71428571426,249.99999999999994%
Flightradar24 | Flight Tracker,300000,-57142.8571428571,-15.99999999999999%
8 Ball Pool™,285714,85714.28571428571,42.85714285714285%
NetShort - Popular Dramas & TV,271429,100000.00000000003,58.33333333333335%
TeraBox: 1TB Cloud & AI Space,257143,142857.1428571429,125.00000000000003%
Block Out! - Color Sort Puzzle,242857,85714.28571428574,54.54545454545456%
Dream League Soccer 2026,228571,214285.71428571432,1500.0000000000002%
Bus Traffic Fever!,228571,14285.71428571429,6.666666666666668%
Diskwala,214286,85714.28571428574,66.66666666666669%
Food Hunt: Pixel Puzzle,214286,114285.7142857143,114.28571428571429%
Magic Sort!,214286,157142.85714285716,275.0%
Toy Blast,214286,85714.28571428574,66.66666666666669%
365Scores: Live Sports Scores,200000,57142.85714285716,40.000000000000014%
Wattpad - Read & Write Stories,200000,-128571.42857142849,-39.130434782608674%
Audiomack - Play Music Offline,185714,128571.4285714286,225.00000000000006%
Paper.io 2,185714,-14285.71428571429,-7.142857142857144%
DramaWave - Dramas & Reels,185714,14285.71428571429,8.333333333333336%
