Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[Android]; Country[Norway]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Vita Mahjong,242857,28571.42857142858,13.333333333333336%
Happy Color®: Color by Number,214286,142857.1428571429,200.00000000000003%
itavisen.no,142857,71428.57142857143,100.0%
poczta.wp.pl,114286,100000.00000000001,700.0000000000001%
genius.com,100000,42857.14285714287,75.00000000000003%
15min.lt,100000,42857.14285714287,75.00000000000003%
Candy Crush Saga,100000,-100000.00000000003,-50.000000000000014%
Arrows GO!,85714,14285.71428571429,20.000000000000007%
dailymail.com,71429,14285.71428571429,25.000000000000007%
jutarnji.hr,71429,14285.71428571429,25.000000000000007%
Block Blast!,71429,-142857.1428571429,-66.66666666666667%
Talkie: Creative AI Community,71429,42857.14285714285,149.99999999999994%
liverpool.no,71429,-57142.857142857145,-44.44444444444445%
Solitaire,57143,0.0,0.0%
Sudoku - Classic Sudoku Puzzle,57143,-42857.14285714287,-42.85714285714287%
boredpanda.com,57143,-28571.42857142858,-33.33333333333334%
Mahjong Blast,57143,42857.142857142855,299.99999999999994%
"GoodNovel - Booktok, Stories",57143,57142.857142857145,NA
LiveScore: Live Sports Scores,57143,28571.428571428572,100.0%
Shopping List - Listonic,42857,42857.142857142855,NA
Solitaire - Classic Card Games,42857,-42857.14285714287,-50.000000000000014%
Tinder Dating App: Chat & Date,42857,14285.714285714283,49.999999999999986%
amomama.com,42857,42857.142857142855,NA
proff.no,42857,14285.714285714283,49.999999999999986%
trueachievements.com,42857,28571.42857142857,199.99999999999997%
tv3.lt,42857,42857.142857142855,NA
wccftech.com,42857,42857.142857142855,NA
wp.pl,42857,-14285.71428571429,-25.000000000000007%
Arrow Out,42857,14285.714285714283,49.999999999999986%
Alarmy - Alarm Clock & Sleep,42857,42857.142857142855,NA
Block Crush!,42857,14285.714285714283,49.999999999999986%
Emochi: Chat With Character,42857,14285.714285714283,49.999999999999986%
Grindr - Gay Dating & Chat,42857,-85714.28571428572,-66.66666666666667%
Escape Lab - For Two Players,42857,42857.142857142855,NA
amomedia.com,28571,28571.428571428572,NA
burgerpixel.net,28571,14285.714285714286,100.0%
gazzetta.it,28571,28571.428571428572,NA
delfi.lt,28571,28571.428571428572,NA
happylifeaura.com,28571,14285.714285714286,100.0%
imo-International Calls & Chat,28571,14285.714285714286,100.0%
independent.co.uk,28571,0.0,0.0%
index.hr,28571,0.0,0.0%
m.olx.pl,28571,14285.714285714286,100.0%
oilprice.com,28571,28571.428571428572,NA
si.com,28571,28571.428571428572,NA
Chai: Chat AI Platform,28571,-14285.714285714283,-33.33333333333333%
t-online.de,28571,28571.428571428572,NA
unian.ua,28571,28571.428571428572,NA
Farm Heroes Saga,28571,14285.714285714286,100.0%
vt.co,28571,28571.428571428572,NA
pudelek.pl,28571,14285.714285714286,100.0%
videogameschronicle.com,28571,28571.428571428572,NA
Jigsawscapes® - Jigsaw Puzzles,28571,0.0,0.0%
Arrows – Puzzle Escape,28571,-42857.14285714286,-60.00000000000001%
Jigsolitaire,28571,28571.428571428572,NA
Mahjong Master: Daily Match,28571,28571.428571428572,NA
"Likee-Live, Chat & Party Games",28571,28571.428571428572,NA
Meowdoku: Brain Puzzle Games,28571,-14285.714285714283,-33.33333333333333%
NetShort - Popular Dramas & TV,28571,28571.428571428572,NA
Offline Games - No Wifi Games,28571,-28571.428571428572,-50.0%
Pocket Sort: Coin Merge Puzzle,28571,28571.428571428572,NA
PolyBuzz: Chat with AI Friends,28571,14285.714285714286,100.0%
Soccer Superstar,28571,28571.428571428572,NA
Toon Blast,28571,14285.714285714286,100.0%
Solitaire Classic,28571,28571.428571428572,NA
Sudoku Game - Daily Puzzles,28571,14285.714285714286,100.0%
Woodoku - Wood Block Puzzle,28571,0.0,0.0%
