Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[Android]; Country[Mexico]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
Warning: Data truncated to top 5000 records
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Lark Player:Music Player & MP3,108642857,128571.42857131362,0.11848341232216897%
Snaptube,87371429,-11971428.571428522,-12.05061834915153%
PolyBuzz: Chat with AI Friends,57428571,9542857.142857157,19.92840095465397%
Vita Mahjong,50542857,-3442857.1428571343,-6.37734850489546%
Grindr - Gay Dating & Chat,49157143,-28571.42857142538,-0.05808887598024328%
Block Blast!,47857143,-15328571.428571403,-24.25955234004066%
Seekee - Ai Search & Assistant,35985714,3914285.7142857313,12.204899777282908%
Emochi: Chat With Character,35371429,3899999.999999989,12.392192464820667%
Tile Explorer - Triple Match,35171429,2071428.5714285783,6.258092360811418%
Candy Crush Saga,34757143,428571.4285714254,1.2484394506866328%
FreeReels - Dramas & Reels,30385714,4457142.8571428545,17.190082644628085%
Wattpad - Read & Write Stories,27557143,3485714.2857142836,14.480712166172092%
Soccer Superstar,21942857,442857.1428571306,2.0598006644517697%
Happy Color®: Color by Number,21400000,-1557142.857142862,-6.7828251400124655%
Goods Puzzle: 3D Sorting Games,21014286,-2342857.142857164,-10.030581039755436%
Jewel Coloring,20142857,-114285.71428570524,-0.5641748942171628%
Arrows GO!,18714286,1500000.0000000075,8.713692946058133%
Meowdoku: Brain Puzzle Games,18585714,1228571.4285714254,7.078189300411502%
Wool Crush™,18428571,-5099999.999999989,-21.675774134790483%
Arrows – Puzzle Escape,18171429,-742857.1428571343,-3.9274924471298656%
Ball Sort Puzzle - Color Game,16428571,-3300000.0000000037,-16.727009413468508%
"Character AI: Chat, Talk, Text",14428571,2842857.1428571455,24.537607891492016%
Dream League Soccer 2026,13285714,385714.285714278,2.9900332225913004%
"TREBEL: Music, MP3 & Podcasts",12542857,-3699999.9999999963,-22.779243623570782%
Tile Club - Match Puzzle Games,11657143,671428.571428569,6.111833550064997%
MetroZone,11542857,-342857.14285713993,-2.884615384615361%
ReelShort - Stream Drama & TV,11114286,-685714.285714291,-5.811138014527886%
Color Block: Combo Blast,11057143,371428.5714285821,3.4759358288771063%
cronista.com,10571429,342857.14285713807,3.351955307262521%
Words of Wonders: Crossword,10057143,-471428.57142857276,-4.477611940298519%
