Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[iOS]; Country[Denmark]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Block Blast！,11471429,3657142.85714286,46.80073126142601%
Vita Mahjong,8671429,-957142.8571428582,-9.940652818991108%
Vinted: Pre-loved marketplace,8342857,2242857.142857141,36.768149882903955%
Flashscore: Live Scores & News,6657143,-2528571.4285714263,-27.527216174183497%
Woodoku - Wood Block Puzzles,5771429,371428.5714285737,6.878306878306921%
Wordfeud,5314286,-42857.142857142724,-0.7999999999999976%
Words of Wonders: Crossword,3342857,-342857.1428571418,-9.302325581395325%
Grindr - Gay Dating & Chat,2985714,-242857.14285714272,-7.522123893805306%
Sudoku.com - Number Games,2771429,-185714.28571428498,-6.280193236714952%
Mahjong Blast,2714286,-428571.42857142724,-13.636363636363596%
"Character AI: Chat, Talk, Text",2528571,485714.2857142845,23.776223776223706%
Meowdoku!,2300000,-1114285.7142857122,-32.635983263598284%
Tile Explorer: Tiles Clear!,1900000,-514285.71428571315,-21.301775147928947%
Goods Puzzle: Sort Challenge,1614286,-28571.428571429104,-1.7391304347826397%
Colony Flow!,1600000,242857.14285714296,17.894736842105267%
Zen Color - Color By Number,1557143,-442857.14285714226,-22.14285714285711%
Number Match - Numbers Game,1485714,257142.85714285728,20.930232558139544%
Flightradar24 | Flight Tracker,1414286,414285.71428571444,41.42857142857144%
Happy Color by Numbers Game,1342857,-1357142.8571428559,-50.26455026455023%
plbold.dk,1342857,700000.0000000003,108.88888888888894%
Wool Crush™-Escape Traffic Jam,1257143,-128571.42857142864,-9.278350515463918%
Ludo Club・Fun Dice Board Game,1242857,314285.71428571455,33.846153846153875%
Arrows – Puzzle Escape,1214286,285714.28571428615,30.769230769230823%
Letterboxd,1214286,-85714.28571428591,-6.593406593406607%
Jigsaw Puzzles for Adults HD,1185714,14285.714285714319,1.2195121951219539%
Paper.io 2,1128571,214285.71428571444,23.437500000000018%
Sudoku - Brain Puzzle Games,1114286,-300000.0000000007,-21.212121212121254%
Nonogram.com - Number Games,1100000,-214285.7142857141,-16.304347826086946%
Screwdom,1057143,-314285.714285715,-22.9166666666667%
Shape Escape: Block Puzzle,1042857,-142857.1428571425,-12.048192771084308%
Brilliant Sort™ Diamond Puzzle,1028571,14285.714285714435,1.408450704225367%
Jigsawcard Solitaire Puzzle,1000000,-228571.42857142864,-18.6046511627907%
Zen Word® - Relax Puzzle Game,1000000,-171428.57142857183,-14.634146341463444%
Amaze GO!,985714,-199999.99999999988,-16.86746987951806%
Jigsaw Puzzles - Puzzle Games,957143,14285.714285714901,1.5151515151515809%
Solitaire Associations Journey,957143,-200000.00000000023,-17.283950617283967%
Offline Games - No Wifi Games,942857,42857.14285714284,4.761904761904759%
Wattpad - Read & Write Stories,928571,14285.714285714435,1.5625000000000164%
Blockudoku - Block Puzzle Game,900000,-285714.28571428556,-24.09638554216866%
