Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[iOS]; Country[Sweden]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Block Blast！,14328571,-11857142.857142845,-45.28096017457715%
Vita Mahjong,9914286,-8114285.714285718,-45.00792393026943%
Wordfeud,9757143,3400000.000000003,53.483146067415795%
Mahjong Blast,5500000,-842857.1428571409,-13.288288288288257%
Grindr - Gay Dating & Chat,5185714,-399999.99999999814,-7.1611253196930615%
Words of Wonders: Crossword,4442857,42857.14285714179,0.97402597402595%
Woodoku - Wood Block Puzzles,4100000,-1557142.8571428605,-27.525252525252576%
Flashscore: Live Scores & News,3200000,-685714.285714284,-17.647058823529374%
Shape Escape: Block Puzzle,3200000,-628571.4285714277,-16.417910447761173%
"Character AI: Chat, Talk, Text",3142857,71428.5714285723,2.3255813953488653%
Meowdoku!,2500000,14285.714285714086,0.574712643678153%
QuizDuel! Trivia & Quiz game,2285714,-428571.42857142724,-15.789473684210481%
Wool Crush™-Escape Traffic Jam,1957143,-299999.99999999977,-13.291139240506316%
Solitaire.com: Classic Cards,1685714,357142.8571428573,26.88172043010754%
Vinted: Pre-loved marketplace,1571429,-414285.7142857157,-20.863309352518044%
Block Crush！,1557143,-528571.4285714284,-25.34246575342465%
Wattpad - Read & Write Stories,1428571,-28571.428571428405,-1.960784313725478%
Tile Explorer: Tiles Clear!,1328571,-771428.5714285718,-36.734693877551024%
Solitaire Associations Journey,1314286,185714.28571428568,16.455696202531637%
Pixel Flow!,1300000,-428571.4285714284,-24.793388429752056%
Kik Messaging & Chat App,1200000,0.00000000023283064365386963,1.9402553637822465E-14%
Arrows – Puzzle Escape,1114286,142857.14285714272,14.705882352941163%
Goods Puzzle: Sort Challenge,1100000,-428571.4285714291,-28.037383177570117%
Pocket Sort: Coin Merge Puzzle,1071429,-128571.4285714291,-10.714285714285753%
Solitaire,957143,685714.2857142857,252.6315789473684%
Video Lite,928571,-128571.42857142852,-12.16216216216216%
Zen Word® - Relax Puzzle Game,900000,-357142.8571428574,-28.40909090909092%
Brilliant Sort™ Diamond Puzzle,900000,-57142.85714285704,-5.970149253731335%
FotMob - Soccer Live Scores,885714,-771428.5714285718,-46.551724137931046%
Sudoku - Brain Puzzle Games,857143,-28571.42857142829,-3.2258064516128724%
Zen Color - Color By Number,842857,-385714.28571428603,-31.395348837209323%
2 Player Games : Offline Games,842857,485714.2857142857,136.00000000000003%
Crossword Go!,828571,242857.14285714307,41.463414634146396%
Alarmy - Loud alarm clock,800000,400000.00000000023,100.00000000000009%
Amaze GO!,785714,-185714.28571428568,-19.117647058823525%
Offline Games - No Wifi Games,714286,-28571.428571428405,-3.846153846153824%
Yarn Fever! Unravel Puzzle,714286,-285714.2857142857,-28.571428571428562%
Word Search Explorer®,700000,-128571.42857142817,-15.517241379310297%
Candy Crush Saga,700000,-114285.71428571432,-14.035087719298252%
Ludo Club・Fun Dice Board Game,685714,100000.0,17.073170731707318%
Flightradar24 | Flight Tracker,685714,100000.00000000012,17.073170731707343%
Color Slide - Hexa Puzzle,685714,42857.14285714284,6.666666666666666%
Maze Escape: Block Puzzle,642857,-285714.28571428603,-30.769230769230802%
Colony Flow!,628571,185714.28571428574,41.93548387096776%
CHAI: Social AI Platform- Chat,614286,28571.42857142852,4.878048780487796%
Tumblr: Social Media & Art,614286,442857.1428571427,258.3333333333332%
Solitaire: Cards Games Classic,614286,-100000.00000000023,-14.000000000000034%
Block Out! - Color Sort Puzzle,600000,-71428.57142857113,-10.638297872340384%
DramaBox - Stream Drama Shorts,600000,128571.42857142852,27.27272727272726%
Bus Traffic Fever!,600000,-285714.2857142859,-32.25806451612905%
ReelShort - Stream Drama & TV,542857,-171428.57142857136,-23.99999999999999%
Sudoku.com - Number Games,528571,199999.99999999977,60.86956521739123%
Happy Color by Numbers Game,528571,-28571.428571428754,-5.128205128205162%
Fruit Merge™: Match Game,514286,114285.71428571438,28.57142857142861%
imo-International Calls & Chat,514286,314285.7142857142,157.14285714285708%
Block Away - Tap Out Puzzle,514286,-185714.28571428586,-26.530612244897984%
My Perfect Hotel,500000,-300000.0000000003,-37.50000000000003%
Bubble Shooter: Pop & Blast,500000,-28571.42857142858,-5.405405405405409%
Food Hunt: Pixel Puzzle,500000,-114285.71428571455,-18.60465116279074%
Little Farm Story: Idle Tycoon,500000,128571.42857142835,34.615384615384556%
Toy Blast,471429,-99999.99999999994,-17.499999999999993%
Jigsaw Puzzles for Adults HD,471429,-71428.5714285713,-13.157894736842088%
Color by Number：Coloring Games,471429,-214285.71428571432,-31.250000000000014%
Magic Sort!,457143,-71428.57142857142,-13.513513513513516%
Jigsawcard Solitaire Puzzle,428571,-642857.1428571431,-60.00000000000001%
Sofascore: Live Sports Scores,428571,-271428.5714285714,-38.77551020408164%
Toon Blast,428571,-971428.5714285718,-69.38775510204083%
Mahjong Club - Solitaire Game,428571,114285.71428571414,36.36363636363632%
Screwdom,428571,28571.42857142858,7.142857142857149%
VPN - Super Unlimited Proxy,400000,-142857.14285714284,-26.31578947368421%
Solitaire·,400000,-228571.42857142858,-36.36363636363637%
Shanghai Mahjongg Puzzle,400000,57142.8571428571,16.666666666666657%
Search It - Hidden Objects,400000,14285.714285714144,3.7037037037036673%
Tower War - Tactical Conquest,385714,-99999.99999999988,-20.588235294117634%
Car Jam: Escape Traffic Puzzle,385714,-14285.714285714319,-3.571428571428581%
Paint by Number Coloring Game,385714,-42857.142857143015,-10.000000000000036%
Jelly Busters: Puzzle Game,371429,28571.42857142858,8.33333333333334%
Hexa Sort,357143,42857.1428571429,13.636363636363651%
LiveScore: Live Sports Scores,342857,-414285.71428571426,-54.71698113207547%
Jigsawscapes® - Jigsaw Puzzles,342857,-99999.99999999994,-22.58064516129031%
Soccer Superstar,342857,-114285.71428571409,-24.999999999999968%
Water Sort Puzzle,328571,-99999.99999999983,-23.333333333333304%
Screw Sort Puzzle™- Pin Jam 3D,314286,-57142.85714285704,-15.38461538461536%
Point Out: Color Escape Puzzle,314286,-14285.714285714319,-4.347826086956532%
Hexa Away,300000,28571.42857142852,10.526315789473664%
Widgetable: Besties & Couples,300000,85714.28571428568,39.99999999999997%
dailymotion.com,300000,-85714.28571428574,-22.22222222222223%
Block Craft 3D: Building Games,300000,114285.71428571426,61.53846153846151%
"GoodNovel - Booktok, Stories",285714,42857.14285714284,17.6470588235294%
Smash Fest!,285714,-99999.99999999988,-25.925925925925903%
Wood Block Puzzle Games,285714,-114285.71428571409,-28.571428571428534%
Fluffy Drop,271429,100000.00000000003,58.33333333333335%
Gems Match: Color Puzzle,271429,85714.28571428574,46.15384615384617%
Badoo Dating: Meet New People,271429,14285.71428571429,5.555555555555556%
TuneIn Radio: Music & Sports,271429,28571.42857142852,11.764705882352919%
Geometry Dash Lite,257143,-99999.99999999991,-27.99999999999998%
Screw Out 3D: Nut Sort Jam,257143,42857.14285714287,20.000000000000004%
Wool Craze -Yarn Color Sort 3D,257143,-171428.57142857122,-39.99999999999997%
Sled Surfers,257143,-28571.42857142855,-9.999999999999991%
Tetris®,257143,14285.71428571429,5.882352941176472%
BitLife - Life Simulator,257143,0.0,0.0%
Sudoku Blast!,242857,-42857.14285714284,-14.999999999999991%
Word Screw - 3D Unscrew Bolts,242857,-128571.4285714284,-34.61538461538458%
DramaWave - Dramas & Reels,242857,-157142.85714285704,-39.28571428571427%
Sola Mahjong: Match Tiles Game,242857,-28571.42857142852,-10.526315789473665%
Jade Mahjong,242857,0.000000000029103830456733704,1.1983930188066818E-14%
Screw Sort 3D: Pin Puzzle Game,242857,-71428.57142857136,-22.72727272727271%
Candy Crush Soda Saga,228571,-71428.57142857139,-23.809523809523796%
Hole It 3D,228571,171428.57142857148,300.0000000000001%
Top Eleven Be a Soccer Manager,228571,-171428.57142857127,-42.85714285714283%
Business Empire: RichMan,228571,-128571.42857142855,-35.99999999999999%
Travel Town - Merge Adventure,228571,-142857.1428571428,-38.46153846153845%
Order Crazy: Water Sort Puzzle,228571,-114285.71428571412,-33.3333333333333%
Vehicle Masters,228571,-85714.28571428565,-27.272727272727256%
Tile Club - Matching Game,228571,-42857.14285714281,-15.789473684210508%
Two Dots - Connect the Colors,228571,-99999.99999999991,-30.434782608695627%
Block Puzzle Woody Origin,228571,-85714.28571428571,-27.27272727272727%
Sudoku· Classic Puzzle Games,214286,114285.7142857143,114.28571428571429%
Woody Block Puzzle Brain Game,214286,-142857.14285714284,-39.99999999999999%
SoundCloud: The Music You Love,214286,57142.85714285716,36.363636363636374%
Arrow Pro 3D,214286,-42857.14285714287,-16.66666666666667%
Triple Tile: Match Puzzle Game,200000,14285.71428571429,7.692307692307694%
Zen Match - Relaxing Puzzle,200000,-14285.71428571429,-6.666666666666668%
Car Match - Traffic Puzzle,200000,114285.7142857143,133.33333333333334%
Color Cube Match: Sort Puzzle,200000,-114285.71428571423,-36.36363636363635%
Jigsaw Puzzles - Puzzle Games,200000,57142.85714285716,40.000000000000014%
Muslim Pro: Quran & Athan,200000,14285.71428571429,7.692307692307694%
PolyBuzz: Chat with Characters,200000,-71428.57142857145,-26.315789473684212%
Sheep Dash-Farm Animal Escape,200000,-299999.9999999999,-59.999999999999986%
Spider Solitaire: Card Game,200000,85714.28571428572,75.0%
Subway Surfers,200000,-28571.42857142858,-12.500000000000002%
myTuner Radio - Live Stations,200000,-28571.42857142858,-12.500000000000002%
Number Match - Numbers Game,200000,85714.28571428571,74.99999999999999%
Jigsolitaire,185714,-85714.28571428574,-31.57894736842106%
Find Hidden Objects - Spot It!,185714,-28571.42857142858,-13.333333333333336%
Money Sort: Merge Puzzle,185714,-57142.85714285716,-23.529411764705888%
Paper.io 2,185714,-100000.0,-35.0%
Pyramid Solitaire - Card Games,185714,-28571.42857142858,-13.333333333333336%
Ruzzle,185714,-142857.14285714284,-43.47826086956521%
Snake Clash!,185714,-114285.71428571426,-38.09523809523809%
Woodle Screw™ Pin Nuts & Bolts,185714,114285.7142857143,160.00000000000003%
DOP 5: Delete One Part,185714,-100000.0,-35.0%
Ballz,185714,42857.14285714287,30.000000000000007%
CubeAway - 3DPuzzle,185714,14285.71428571429,8.333333333333336%
DramaReels: Dramas and Series,185714,171428.57142857145,1200.0000000000002%
InShot - Video Editor,171429,114285.7142857143,200.00000000000003%
TDS - Tower Destiny Survive,171429,42857.14285714287,33.33333333333334%
FUTBIN FC 26 Evolutions & More,171429,-142857.1428571428,-45.454545454545446%
Water Sort Puzzle: Get Color,171429,-14285.71428571429,-7.692307692307694%
Word Connect - Words of Nature,171429,-42857.14285714287,-20.000000000000004%
Eatventure,171429,0.0,0.0%
8 Ball Pool™,171429,114285.7142857143,200.00000000000003%
Cell Survivor - Shoot Defense,171429,-71428.57142857145,-29.411764705882355%
FreeCell: Card Game,157143,71428.57142857143,83.33333333333333%
Melon: Sandbox,157143,-100000.00000000003,-38.8888888888889%
Nostal Solitaire Card Game,157143,114285.7142857143,266.66666666666674%
Wordzee! - Puzzle Word Game,157143,14285.71428571429,10.000000000000004%
Bus Out,157143,14285.71428571429,10.000000000000004%
Color Pixel Shooter,157143,100000.00000000001,175.00000000000003%
Super Goal: Fun Soccer Game,157143,42857.142857142855,37.49999999999999%
Snake.io - Fun Online Snake,157143,100000.00000000001,175.00000000000003%
Stepler - Walk & Earn,157143,142857.14285714287,1000.0000000000001%
Cube Land Puzzle Game,157143,0.0,0.0%
Bubble Bus: Parking Jam Puzzle,142857,-57142.85714285716,-28.571428571428577%
Crostic Crossword－Word Puzzles,142857,100000.00000000001,233.3333333333334%
Color Block: Combo Blast,142857,114285.71428571429,400.0%
Magic Jigsaw Puzzles－Games HD,142857,42857.14285714287,42.857142857142875%
Mahjong Jam: Tile Match,142857,-42857.14285714287,-23.076923076923084%
Unscrew: Screw Pin Jam Puzzle,142857,57142.85714285716,66.6666666666667%
Woodoku Blast: Block Puzzle,142857,0.0,0.0%
iCSee,142857,-85714.28571428571,-37.49999999999999%
‎Bubble Shooter Rainbow,142857,57142.857142857145,66.66666666666666%
Block Buster - No Timer,142857,28571.428571428565,24.99999999999999%
Bridge Base Online - BBO,142857,42857.142857142855,42.85714285714285%
Ball Sort Puzzle,142857,-71428.57142857145,-33.333333333333336%
Knit Away - Yarn 3D,128571,57142.85714285716,80.00000000000003%
Math Crossword — Number Puzzle,128571,14285.714285714304,12.500000000000016%
Mini Soccer Star 2026,128571,-57142.857142857145,-30.769230769230766%
"Picsart AI Photo Editor, Video",128571,-100000.00000000001,-43.75%
Goods Sort™ - Triple Master 3D,128571,-14285.714285714275,-9.999999999999991%
Pocket FM: Audio Series,128571,0.000000000014551915228366852,1.1318156288729773E-14%
Screw Block Escape,128571,-42857.142857142855,-24.999999999999996%
Daily Mahjong Match,128571,14285.71428571429,12.500000000000002%
1 2 3 4 Player Games,128571,28571.428571428594,28.571428571428594%
Blossom Sort® - Flower Games,128571,28571.42857142858,28.571428571428577%
Gecko Out,128571,-14285.71428571429,-10.000000000000004%
Spades Classic Card Game,128571,42857.142857142855,49.99999999999999%
Tile Vacation - Triple Match,128571,-142857.1428571429,-52.631578947368425%
⋆Solitaire: Classic Card Games,128571,71428.57142857143,125.00000000000001%
Idle Business Empire Tycoon!,114286,14285.714285714304,14.285714285714304%
Jigsaw Drop: Solitaire Puzzle,114286,42857.14285714287,60.000000000000014%
Kryss - The Battle of Words,114286,-71428.57142857143,-38.46153846153846%
Mahjong Triple - Match 3 Tile,114286,28571.42857142858,33.33333333333334%
My Lightning Tracker & Alerts,114286,57142.85714285716,100.00000000000003%
Grocery List - Listonic,114286,42857.14285714287,60.000000000000014%
Hotpot Loop: Food Sort,114286,-14285.71428571429,-11.111111111111112%
Snake Escape - Tap Away,114286,-71428.57142857143,-38.46153846153846%
Cube Tap Sort,114286,-100000.00000000001,-46.66666666666667%
Associations - Colorwood Game,114286,57142.85714285716,100.00000000000003%
Bricks n Balls - Block Breaker,114286,28571.428571428594,33.333333333333364%
Spider ▻ Solitaire,114286,42857.14285714287,60.00000000000003%
State.io - Conquer the World,114286,57142.857142857145,100.0%
The Superhero League 2,114286,42857.142857142855,59.99999999999999%
Tinder Dating App: Date & Chat,114286,42857.142857142855,59.99999999999999%
9GAG: Best LOL Pics & GIFs,114286,-57142.85714285716,-33.33333333333334%
Goods Master 3D: Matching Game,114286,14285.714285714275,14.285714285714272%
Bubble Pop！Bubble Shooter Game,100000,85714.28571428572,600.0000000000001%
Bus Craze - Traffic Jam Puzzle,100000,0.0,0.0%
Color Block Jam,100000,-228571.42857142858,-69.56521739130434%
Color Maze Master,100000,0.0,0.0%
Drop the Cat,100000,-14285.71428571429,-12.500000000000002%
Goods Sort Match - Sorting Fun,100000,-28571.428571428565,-22.222222222222214%
Grass Master – Cutting Game,100000,57142.85714285716,133.3333333333334%
Meitu AI Photo & Video Editor,100000,28571.428571428594,40.00000000000004%
Land Builder,100000,42857.14285714287,75.00000000000003%
Nonogram.com - Number Games,100000,42857.14285714287,75.00000000000003%
Number Crunch: Match Game,100000,0.000000000014551915228366852,1.4551915228366852E-14%
Nut Sort: Color Sorting Game,100000,0.0,0.0%
OneFootball Live Soccer scores,100000,-42857.142857142855,-29.999999999999996%
Skip-Bo™: Solitaire Card Game,100000,-42857.142857142855,-29.999999999999996%
