Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[Android]; Country[Indonesia]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
FreeReels - Dramas & Reels,212142857,36242857.142857194,20.604239421749416%
Block Blast!,13971429,4042857.142857151,40.71942446043173%
Solitaire.com - Classic Cards,6228571,-742857.1428571427,-10.655737704918032%
Vita Mahjong,5685714,-428571.42857143003,-7.009345794392546%
"MiChat - Chat, Make Friends",5200000,-314285.7142857164,-5.699481865285013%
Words of Wonders: Crossword,5057143,757142.8571428573,17.607973421926918%
GoTube: Video & Music Player,4157143,1185714.2857142854,39.903846153846146%
"GoodNovel - Booktok, Stories",3542857,2314285.7142857127,188.37209302325564%
Melolo - Short Dramas & Reels,3428571,357142.8571428587,11.627906976744239%
Tile Explorer - Triple Match,3028571,-28571.428571429104,-0.934579439252354%
trends.glance.com,2957143,614285.7142857155,26.21951219512201%
Wattpad - Read & Write Stories,2800000,-414285.71428571455,-12.888888888888898%
Wool Crush™,2500000,1000000.0000000002,66.66666666666666%
Fizzo - Novel & Drama,2371429,685714.2857142847,40.67796610169483%
NetShort - Popular Dramas & TV,2357143,971428.5714285709,70.10309278350508%
StarMaker: Sing Karaoke Songs,2185714,399999.99999999977,22.39999999999998%
1DM: Browser & Video Download,2128571,514285.7142857141,31.858407079646%
Sudoku - Classic Sudoku Puzzle,2028571,-757142.8571428559,-27.17948717948713%
Litmatch—Make new friends,1942857,271428.57142857113,16.239316239316206%
Candy Crush Saga,1828571,471428.5714285716,34.73684210526314%
Color Block: Combo Blast,1828571,342857.1428571427,23.076923076923052%
Chess - Offline Board Game,1800000,399999.99999999953,28.57142857142853%
Tile Park,1714286,442857.1428571425,34.83146067415726%
CapCut - Video Editor,1614286,-357142.8571428573,-18.115942028985515%
Tile Club - Match Puzzle Games,1600000,385714.28571428545,31.764705882352906%
MicroShort - Short drama & TV,1557143,428571.42857142887,37.97468354430382%
Turbo VPN - Secure VPN Proxy,1542857,500000.00000000047,47.945205479452106%
