Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[iOS]; Country[United Kingdom]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
Warning: Data truncated to top 5000 records
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Block Blast！,137814286,41242857.14285709,42.70710059171596%
Vita Mahjong,70900000,-8285714.285714313,-10.46364784412776%
Happy Color by Numbers Game,45600000,6300000.000000007,16.030534351145054%
Meowdoku!,38885714,7142857.142857153,22.50225022502254%
dailymail.com,26257143,7357142.8571428545,38.926681783824606%
Grindr - Gay Dating & Chat,23142857,-11171428.571428563,-32.55620316402996%
"Character AI: Chat, Talk, Text",22157143,185714.2857142724,0.8452535760727612%
Wordscapes - Word Game,21885714,4428571.428571425,25.368248772504078%
Goods Puzzle: Sort Challenge,21057143,899999.9999999963,4.464918497519472%
Solitaire Associations Journey,20442857,3042857.142857142,17.487684729064032%
Wattpad - Read & Write Stories,20100000,2185714.2857142687,12.200956937798944%
CHAI: Social AI Platform- Chat,19957143,1171428.5714285746,6.235741444866938%
Tile Explorer: Tiles Clear!,17871429,128571.42857142538,0.7246376811594021%
Vinted: Pre-loved marketplace,16928571,-8099999.999999993,-32.36301369863013%
Candy Crush Saga,16742857,9228571.428571424,122.81368821292769%
thesun.co.uk,16414286,-2528571.4285714254,-13.34841628959274%
Woodoku - Wood Block Puzzles,14928571,-185714.28571428917,-1.2287334593573%
Letterboxd,14657143,1785714.2857142817,13.873473917869%
Offline Games - No Wifi Games,14285714,1242857.1428571455,9.529025191675812%
Mahjong Blast,13571429,-1157142.85714286,-7.8564500484966215%
Word Trip - Word Puzzles Games,13071429,2228571.428571429,20.553359683794472%
Scrabble® GO – Fun with Words!,12828571,314285.71428570896,2.5114155251141113%
Crossword Go!,11400000,28571.428571423516,0.25125628140699047%
Zen Word® - Relax Puzzle Game,10314286,-1742857.14285714,-14.454976303317514%
Words With Friends Word Game,10285714,1428571.428571429,16.129032258064523%
Sudoku.com - Number Games,10028571,585714.2857142854,6.2027231467473465%
Zen Color - Color By Number,9757143,-457142.8571428638,-4.475524475524537%
SoundCloud: The Music You Love,9757143,385714.28571428545,4.115853658536584%
PolyBuzz: Chat with Characters,9114286,-242857.1428571418,-2.595419847328233%
Wool Crush™-Escape Traffic Jam,8714286,1328571.4285714254,17.988394584139222%
Screwdom,8414286,300000.00000000093,3.69718309859156%
Word Search Explorer®,8414286,328571.4285714291,4.063604240282693%
Colony Flow!,8300000,-185714.28571428452,-2.1885521885521744%
Da Fit,7985714,1742857.1428571418,27.917620137299746%
Solitaire,7942857,1728571.4285714263,27.816091954022948%
Pixel Flow!,7685714,1457142.8571428536,23.394495412843977%
Brilliant Sort™ Diamond Puzzle,7185714,571428.5714285718,8.639308855291585%
Yarn Fever! Unravel Puzzle,6900000,-1128571.4285714263,-14.056939501779336%
Flightradar24 | Flight Tracker,6857143,-2728571.428571429,-28.464977645305517%
Flashscore: Live Scores & News,6857143,-9571428.571428582,-58.26086956521744%
Arrows – Puzzle Escape,6657143,657142.8571428582,10.952380952380974%
gumtree.com,6542857,-4885714.285714289,-42.750000000000014%
DramaBox - Stream Drama Shorts,6485714,1385714.2857142873,27.170868347338974%
Daily Themed Crossword Puzzles,6271429,714285.7142857136,12.853470437017988%
Search It - Hidden Objects,6242857,400000.00000000186,6.845965770171183%
MyFitnessPal: Calorie Counter,5614286,2500000.0000000005,80.27522935779821%
Find Hidden Objects - Spot It!,5514286,557142.8571428554,11.23919308357345%
Pocket Sort: Coin Merge Puzzle,5428571,757142.8571428563,16.207951070336374%
Citymapper: All Live Transit,5371429,-2299999.999999999,-29.98137802607076%
Point Out: Color Escape Puzzle,5357143,-157142.85714286007,-2.84974093264254%
express.co.uk,5285714,2242857.1428571413,73.70892018779337%
Words of Wonders: Crossword,5242857,-957142.8571428563,-15.437788018433167%
Crossword Jam: Fun Word Search,5242857,-214285.7142857164,-3.926701570680666%
Color by Number：Coloring Games,5128571,-599999.9999999981,-10.473815461346604%
Kik Messaging & Chat App,5128571,2314285.714285713,82.23350253807104%
Musi - Simple Music Streaming,5085714,-985714.2857142882,-16.235294117647097%
Pocket FM: Audio Series,5071429,214285.71428571362,4.411764705882341%
Hexa Away,5042857,-185714.28571428638,-3.5519125683060238%
Candy Crush Soda Saga,4971429,1385714.2857142845,38.645418326693196%
Yahoo Mail: Your Email & Inbox,4928571,1128571.4285714272,29.699248120300716%
