Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[iOS]; Country[Pakistan]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Ludo STAR,328571,-42857.142857142666,-11.538461538461492%
Arrows – Puzzle Escape,242857,42857.14285714284,21.428571428571416%
JazzCash- Your Mobile Account,214286,0.0,0.0%
Cricbuzz Live Cricket Scores,200000,171428.57142857145,600.0000000000001%
8 Ball Pool™,171429,-14285.71428571429,-7.692307692307694%
InShot - Video Editor,157143,100000.00000000001,175.00000000000003%
CapCut: Photo & Video Editor,157143,57142.857142857145,57.14285714285714%
Color by Number：Coloring Games,142857,57142.857142857145,66.66666666666666%
Block Blast！,142857,128571.42857142858,900.0%
"SHAREit: Transfer, Share Files",128571,128571.4285714286,NA
Subway Surfers,128571,-57142.857142857145,-30.769230769230766%
Cricket Guru,128571,57142.857142857145,80.0%
Amaze GO!,114286,-42857.142857142855,-27.27272727272727%
Snake.io - Fun Online Snake,114286,57142.85714285716,100.00000000000003%
Crossword Go!,100000,-57142.857142857145,-36.36363636363636%
Paint by Number Coloring Game,100000,-14285.71428571429,-12.500000000000002%
طرب الفيديو,100000,57142.85714285716,133.3333333333334%
Candy Crush Saga,100000,14285.71428571429,16.66666666666667%
My Supermarket Simulator 3D®,85714,0.0,0.0%
Tile Explorer: Tiles Clear!,85714,-14285.71428571429,-14.285714285714288%
2 Player Games : Offline Games,85714,28571.42857142858,50.000000000000014%
Yarn Fever! Unravel Puzzle,85714,71428.57142857143,500.00000000000006%
Brick Blast - Ball Breaker,85714,28571.42857142858,50.000000000000014%
LUDO‎,85714,57142.85714285715,200.00000000000003%
Ludo Titan,71429,42857.14285714286,150.00000000000003%
Brain Puzzle 3: Crazy Mind,71429,28571.42857142858,66.6666666666667%
Offline Games - No Wifi Games,71429,-42857.14285714287,-37.50000000000001%
SuperVPN Fast VPN Client,71429,57142.857142857145,400.0%
Water Sort Puzzle,71429,57142.857142857145,400.0%
Word Search Explorer®,71429,-57142.857142857145,-44.44444444444444%
Audiomack - Play Music Offline,71429,-14285.71428571429,-16.66666666666667%
"zeta: AI Chat, Story, Play",71429,42857.14285714286,150.00000000000003%
Vita Mahjong,71429,-42857.142857142884,-37.500000000000014%
NetShort - Popular Dramas & TV,71429,57142.85714285713,399.9999999999999%
Magic Sort!,57143,57142.857142857145,NA
My Talking Tom 2,57143,42857.142857142855,299.99999999999994%
Number Match - Numbers Game,57143,28571.428571428572,100.0%
Point Out: Color Escape Puzzle,57143,42857.142857142855,299.99999999999994%
Remini - AI Photo Enhancer,57143,28571.428571428572,100.0%
Wordscapes - Word Game,57143,14285.71428571429,33.33333333333335%
imo-International Calls & Chat,57143,28571.428571428572,100.0%
Alarmy - Loud alarm clock,57143,42857.142857142855,299.99999999999994%
Candy Crush Soda Saga,57143,42857.142857142855,299.99999999999994%
Goods Puzzle: Sort Challenge,57143,-14285.71428571429,-20.000000000000007%
Head Ball 2 - Soccer Game,57143,0.0,0.0%
HeeSay:Blued Gay Chat & Dating,57143,0.0,0.0%
Idle Bank Tycoon: Money Game,57143,42857.142857142855,299.99999999999994%
Hill Climb Racing,57143,-14285.71428571429,-20.000000000000007%
Litmatch - Make new friends,57143,57142.857142857145,NA
Art Puzzle - Jigsaw Games,42857,0.0,0.0%
Blockudoku - Block Puzzle Game,42857,28571.42857142857,199.99999999999997%
Bubble Shooter: Pop & Blast,42857,-71428.57142857143,-62.50000000000001%
Calculator₊,42857,42857.142857142855,NA
CamScanner - PDF Scanner App,42857,28571.42857142857,199.99999999999997%
Color Block Jam,42857,14285.714285714283,49.999999999999986%
Car Evolve,42857,42857.142857142855,NA
Cryptogram: Word Brain Puzzle,42857,0.0,0.0%
Da Fit,42857,-14285.71428571429,-25.000000000000007%
Differences - Find & Spot Them,42857,14285.714285714283,49.999999999999986%
Diskwala,42857,28571.42857142857,199.99999999999997%
DramaBox - Stream Drama Shorts,42857,-28571.42857142858,-40.000000000000014%
Dude Theft Wars FPS Open World,42857,42857.142857142855,NA
Mahjong Blast,42857,28571.42857142857,199.99999999999997%
Islam360: Quran Hadith Qibla,42857,0.0,0.0%
Jigsawcard Solitaire Puzzle,42857,14285.714285714283,49.999999999999986%
Makeup Stylist -DIY Salon game,42857,28571.42857142857,199.99999999999997%
Monkey Student: School Prank,42857,14285.714285714283,49.999999999999986%
PakWheels: Buy & Sell Cars,42857,-28571.42857142858,-40.000000000000014%
SIMOSA – Jazz World,42857,42857.142857142855,NA
Snake Puzzle: Slither to Eat!,42857,42857.142857142855,NA
Scary Teacher 3D,42857,0.0,0.0%
Soccer Superstar,42857,-14285.71428571429,-25.000000000000007%
Tower War - Tactical Conquest,42857,-14285.71428571429,-25.000000000000007%
VPN - Super Unlimited Proxy,42857,-14285.71428571429,-25.000000000000007%
Video Lite,42857,42857.142857142855,NA
Woodle Screw™ Pin Nuts & Bolts,42857,14285.714285714283,49.999999999999986%
Wool Crush™-Escape Traffic Jam,42857,28571.42857142857,199.99999999999997%
1 2 3 4 Player Games,42857,14285.714285714283,49.999999999999986%
Football League™ 2026,42857,0.0,0.0%
Colorwood Sort Puzzle Game,28571,28571.428571428572,NA
Block Crush！,28571,28571.428571428572,NA
Bolt Browser and Documents,28571,14285.714285714286,100.0%
Bus Traffic Fever!,28571,-14285.714285714283,-33.33333333333333%
Brilliant Sort™ Diamond Puzzle,28571,0.0,0.0%
Car Driving School Parking Sim,28571,0.0,0.0%
Carrom Pool: Disc Game,28571,-14285.714285714283,-33.33333333333333%
"Character AI: Chat, Talk, Text",28571,28571.428571428572,NA
Color Knitzy,28571,28571.428571428572,NA
Color Maze - Puzzle Game,28571,28571.428571428572,NA
Color Road!,28571,28571.428571428572,NA
Crossword Master - Word Puzzle,28571,0.0,0.0%
Cricinfo - Live Cricket Scores,28571,28571.428571428572,NA
Crossword Jam: Fun Word Search,28571,0.0,0.0%
Daily Themed Crossword Puzzles,28571,28571.428571428572,NA
