Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[iOS]; Country[Japan]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
Warning: Data truncated to top 5000 records
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
"zeta: AI Chat, Story, Play",306957143,25671428.571428776,9.126460132046768%
BeReal: Photos & Friends Daily,159485714,-51457142.857142985,-24.393877827441376%
トリマ-歩数・移動でポイント！お小遣いお金稼ぎの歩数計アプリ,154357143,-27414285.714285612,-15.081735303363686%
Meowdoku!,122600000,-3628571.428571403,-2.8746038931643123%
Block Blast！,108114286,22614285.714285493,26.449456975772517%
whoo - Meet Your Friends,103300000,-8700000.00000012,-7.767857142857249%
pixiv,78185714,7971428.571428642,11.353001017294115%
trilltrill.jp,72714286,-9457142.857143104,-11.509040333797213%
TimeTree: Shared Calendar,65385714,14828571.428571433,29.330319299237168%
レシチャレ by クラシル レシートがお金に変わる節約アプリ,51714286,-20671428.57142859,-28.557331754489844%
SmartNews: Now in Spanish,49057143,-3685714.285714358,-6.98808234019515%
チャットアプリORCA - オルカ,48500000,-1800000.0000000075,-3.578528827037785%
LINE WALK,39785714,-10171428.571428575,-20.360308836145265%
Screwdom,38171429,5428571.428571466,16.579406631762772%
トルミル,37200000,585714.285714291,1.5996878657823006%
Wool Crush™-Escape Traffic Jam,36585714,1571428.571428582,4.4879640962872624%
おぢポ - 歩いてポイントを貯めるポイ活アプリ,34728571,3314285.7142857164,10.550250113688046%
LINEマンガ,31700000,2114285.7142857052,7.146306132303202%
Sudoku.com - Number Games,31528571,3428571.428571418,12.20132180986269%
Happy Color by Numbers Game,29671429,2185714.285714291,7.95218295218297%
Toon Blast,27014286,4200000.000000004,18.40951784596118%
Powl（ポール）歩くだけでポイント貯まるお小遣い稼ぎアプリ,21800000,1485714.2857142836,7.3136427566807205%
Triple Tile: Match Puzzle Game,21728571,-1742857.1428571343,-7.425441265976836%
Colony Flow!,21642857,-871428.5714285634,-3.870558375634483%
Solitaire Associations Journey,20914286,457142.8571428545,2.234636871508367%
