Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[Android]; Country[Pakistan]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Eyecon Caller ID & Spam Block,67714286,9728571.42857135,16.777531411677636%
Arrows GO!,8042857,-1228571.428571431,-13.251155624037008%
Ludo STAR: Online Dice Game,6428571,-1200000.000000001,-15.730337078651697%
Arrow Puzzle: Tap Puzzle Games,5042857,800000.0,18.855218855218855%
MX Player,3942857,128571.4285714291,3.3707865168539475%
Arrows – Puzzle Escape,3371429,885714.2857142854,35.63218390804597%
PLAYit-All in One Video Player,2642857,400000.00000000093,17.83439490445864%
CallApp: Caller ID & Block,2457143,214285.7142857141,9.554140127388527%
Vita Mahjong,2371429,985714.2857142847,71.1340206185566%
GreatShort,2314286,-471428.5714285709,-16.923076923076902%
Tile Explorer - Triple Match,2171429,-799999.9999999986,-26.923076923076884%
"SHAREit: Transfer, Share Files",2000000,1500000.0,300.0%
Cricket Guru - Fast Live Score,1942857,1142857.1428571427,142.85714285714286%
Math Merge 2048,1885714,-542857.142857143,-22.352941176470594%
Color Block: Combo Blast,1728571,157142.8571428575,10.00000000000002%
SIMOSA - Jazz World,1628571,500000.00000000023,44.303797468354446%
imo-International Calls & Chat,1342857,-42857.14285714249,-3.092783505154612%
Kooply Run™: Play and Create!,1328571,314285.7142857148,30.985915492957794%
Mahjong Blast,1257143,99999.99999999977,8.641975308641953%
Tile Club - Match Puzzle Games,1185714,-114285.71428571478,-8.791208791208826%
Subway Surfers,1171429,-371428.5714285709,-24.074074074074034%
"Fashion Show: Makeup, Dress Up",1157143,285714.2857142864,32.78688524590173%
8 Ball Pool,1114286,357142.8571428573,47.16981132075473%
Girl Rescue: Dragon Out!,1057143,-271428.57142857206,-20.43010752688176%
Cricbuzz - Live Cricket Scores,1042857,600000.0000000001,135.483870967742%
Art Puzzle - Puzzle Games,1014286,57142.85714285704,5.970149253731331%
Bubble Shooter - Pop Bubbles,928571,-42857.142857142724,-4.411764705882339%
CREX - Just Cricket,928571,457142.85714285733,96.96969696969703%
Carrom Pool: Disc Game,914286,814285.7142857141,814.285714285714%
Candy Crush Saga,728571,85714.2857142858,13.33333333333335%
Bubble Shooter - Classic Pop,714286,42857.14285714296,6.382978723404272%
Block Blast!,700000,342857.14285714296,96.00000000000006%
Ludo King®,685714,-114285.71428571444,-14.2857142857143%
My Zong,685714,-14285.714285714203,-2.0408163265306007%
1 2 3 4 Player Games - Offline,671429,-85714.28571428568,-11.320754716981126%
Remini - AI Photo Enhancer,671429,-214285.7142857142,-24.193548387096772%
Block Crush!,642857,342857.14285714284,114.28571428571428%
GPS Map Camera,571429,371428.57142857136,185.71428571428564%
Video Downloader,557143,114285.71428571432,25.806451612903235%
3D Bolt Master®: Screw Master®,557143,142857.14285714278,34.48275862068964%
Snake.io - Fun Snake .io Games,542857,28571.42857142852,5.5555555555555465%
Zen Word® - Relax Puzzle Game,528571,71428.57142857154,15.62500000000003%
Color Block Jam,514286,199999.99999999977,63.63636363636357%
"Photo Gallery - Album, Vault",500000,157142.85714285698,45.83333333333328%
Hill Climb Racing,500000,114285.71428571414,29.629629629629598%
Bus Traffic Fever!,485714,85714.2857142858,21.428571428571452%
App Lock - Applock Fingerprint,471429,428571.4285714286,1000.0000000000001%
Tile Park,457143,257142.85714285684,128.57142857142838%
Tile Clear - Puzzle Game,442857,-157142.85714285704,-26.19047619047618%
Bubble Shooter,442857,214285.71428571406,93.74999999999989%
Stack Ball - Crash Platforms,442857,-157142.85714285722,-26.190476190476208%
Rigi TV: Watch Reel Shows,428571,85714.2857142858,25.000000000000032%
Pizza Ready!,428571,-14285.714285714203,-3.2258064516128853%
Video Editor & Maker - InShot,428571,-157142.85714285733,-26.82926829268296%
Block Craft 3D：Building Game,414286,71428.57142857142,20.833333333333336%
2 Player games : the Challenge,414286,42857.142857142666,11.538461538461489%
botim,385714,99999.99999999983,34.999999999999936%
Screwdom 3D,371429,342857.1428571427,1199.9999999999993%
"App Lock - Lock Apps, Password",342857,314285.7142857143,1100.0%
God of Cricket,328571,85714.28571428568,35.2941176470588%
Truecaller: Spam Call Blocker,328571,228571.42857142858,228.57142857142856%
Caveman- Number Island,328571,-128571.42857142846,-28.124999999999986%
"Gallery - Album, Photo Vault",328571,214285.7142857143,187.5%
My Supermarket Simulator 3D®,328571,-99999.99999999994,-23.333333333333325%
Gallery- Photo Gallery & Album,328571,171428.57142857136,109.09090909090902%
Duet Cats: Music & Meow Game,314286,-171428.57142857142,-35.29411764705882%
"Status, Sticker Saver",314286,271428.5714285714,633.3333333333334%
Teen Patti Gold:3 Patti Rummy,314286,-0.00000000005820766091346741,-1.852061938155781E-14%
AppLock Pro - App Lock & Guard,314286,-57142.85714285716,-15.38461538461539%
ClevCalc - Calculator,314286,114285.71428571423,57.14285714285711%
Color Adventure: Draw the Path,314286,-42857.14285714284,-11.999999999999995%
Word Search Explorer,300000,85714.28571428574,40.00000000000001%
Subway Princess Runner,300000,-57142.85714285704,-15.999999999999973%
Number Match - Number Games,300000,85714.28571428568,39.99999999999997%
Snake Clash!,300000,85714.28571428568,39.99999999999997%
Soccer Superstar,300000,14285.71428571426,4.999999999999991%
Goods Puzzle: Sort Challenge™,285714,57142.85714285713,24.99999999999999%
Hidden Spots - Hidden Objects,285714,85714.28571428571,42.85714285714285%
Track My Train,285714,142857.14285714287,100.0%
Going Balls,285714,-28571.42857142852,-9.090909090909076%
Document Reader - PDF Editor,285714,257142.85714285716,900.0%
Rope Hero: Vice Town,271429,-314285.7142857141,-53.65853658536584%
Yarn Fever! Unravel Puzzle,271429,42857.14285714287,18.750000000000004%
Tic Tac Toe 2 Player: XO Game,257143,185714.28571428574,260.0%
Bricks Breaker Quest,257143,71428.57142857145,38.46153846153847%
Downloader for TikTok,257143,57142.85714285716,28.571428571428577%
Paint by Number: Coloring Game,257143,-14285.71428571429,-5.263157894736843%
Woodle Screw™ Pin Nuts & Bolts,257143,71428.57142857142,38.46153846153845%
CapCut - Video Editor,257143,242857.14285714287,1700.0%
Cake Maker DIY: Baking Games,242857,100000.00000000003,70.00000000000001%
Cat Runner: Decorate Home,242857,200000.00000000006,466.66666666666686%
Offline Games - No Wifi Games,242857,-14285.71428571429,-5.555555555555556%
Tile Home-Match Puzzle Games,242857,142857.1428571429,142.85714285714286%
Ball Sort Puzzle - Color Game,228571,-257142.85714285684,-52.941176470588196%
Marble Sort! - Color Puzzle,228571,-85714.2857142856,-27.27272727272724%
Dude Theft Wars FPS Open world,228571,0.0,0.0%
Hunter Assassin,228571,0.0,0.0%
Tiledom,228571,171428.57142857148,300.0000000000001%
Jewel Color Sort: Diamond Game,228571,157142.85714285716,220.0%
Space Rolling Balls Race,228571,14285.71428571429,6.666666666666668%
1DM: Browser & Video Download,228571,142857.1428571429,166.66666666666669%
Live Weather: Daily Forecast,228571,-71428.57142857142,-23.809523809523807%
Water Sort! Color Sort Puzzle,228571,99999.99999999999,77.77777777777774%
AppLock,214286,200000.00000000003,1400.0000000000002%
Arrow Kinesic Paths,214286,-42857.14285714287,-16.66666666666667%
Food Sort: Puzzle Game,214286,71428.57142857145,50.00000000000001%
Football League 2026,214286,-71428.57142857136,-24.99999999999998%
Merge Fashion: Romance Story,214286,-114285.7142857142,-34.78260869565215%
"Islam360: Quran, Hadith, Qibla",214286,185714.28571428574,650.0000000000001%
Race Master 3D: Car Racing,214286,57142.85714285716,36.363636363636374%
Unscrew Nuts Sort®: Pin Puzzle,214286,71428.57142857142,49.999999999999986%
Mini Relaxing Game- pop it,214286,-0.000000000029103830456733704,-1.3581787546475727E-14%
App Lock - Fingerprint Lock,214286,157142.85714285716,275.0%
Car Wash: Auto Repair Garage,200000,57142.85714285716,40.000000000000014%
FreeDrama: Watch Free & Earn,200000,42857.14285714287,27.27272727272728%
Ludo,200000,114285.7142857143,133.33333333333334%
Complete Puzzle: Draw One Part,200000,71428.57142857142,55.55555555555554%
Crossword Master - Word Puzzle,185714,85714.28571428572,85.71428571428571%
Jigsaw Puzzles - Puzzle Games,185714,57142.857142857145,44.444444444444436%
Epic Plane Testflight,185714,114285.71428571432,160.00000000000009%
Mini Fidget Antistress Games,185714,-57142.85714285716,-23.529411764705888%
State.io — Conquer the World,185714,42857.14285714287,30.000000000000007%
Tap Tile!,185714,-71428.57142857145,-27.77777777777778%
Yahoo Mail: Email & Planner,185714,28571.42857142858,18.181818181818187%
sudoku.com,185714,157142.85714285716,550.0%
Arrow Puzzle - Arrow Madness,185714,71428.57142857143,62.5%
Arrow To Rich,185714,28571.42857142858,18.181818181818187%
Police Simulator: Police Games,185714,28571.42857142855,18.181818181818166%
Arrow Out,171429,-500000.0,-74.46808510638297%
Jigsawcard Solitaire Puzzle,171429,85714.28571428572,100.0%
Mahjong Master: Daily Match,171429,28571.42857142858,20.000000000000007%
Mob Control,171429,28571.42857142858,20.000000000000007%
Runner Escape: Lost Wild,171429,128571.4285714286,300.00000000000006%
Delight Steps,171429,71428.57142857143,71.42857142857143%
Stunt Bike Extreme,171429,-42857.14285714287,-20.000000000000004%
"UC Browser-Safe, Fast, Private",171429,-28571.42857142855,-14.285714285714274%
Dramify - Reels & Drama,171429,-42857.14285714287,-20.000000000000004%
"WeMuslim: Athan, Qibla&Quran",171429,-242857.1428571427,-58.62068965517239%
