Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[Android]; Country[Canada]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
Warning: Data truncated to top 5000 records
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Happy Color®: Color by Number,45628571,-2742857.1428571492,-5.670407560543423%
Vita Mahjong,45542857,657142.857142806,1.4640356460851813%
Meowdoku: Brain Puzzle Games,33414286,-4957142.857142851,-12.918838421444505%
Grindr - Gay Dating & Chat,28371429,-2028571.428571444,-6.672932330827117%
Wordscapes: Word puzzle game,28157143,-6585714.285714317,-18.955592105263225%
Candy Crush Saga,19228571,528571.4285714403,2.826585179526419%
Scrabble® GO – Fun with Words!,17985714,-1928571.4285714328,-9.68436154949787%
Solitaire - Classic Card Games,15442857,-685714.2857142836,-4.251550044286961%
dailymotion.com,13942857,-214285.7142857164,-1.5136226034308922%
Arrows – Puzzle Escape,12900000,-3085714.2857142854,-19.3029490616622%
Block Blast!,12728571,-885714.2857142873,-6.5057712486883625%
Chai: Chat AI Platform,12685714,1771428.5714285672,16.23036649214655%
Sudoku - Classic Sudoku Puzzle,12642857,-699999.9999999944,-5.2462526766594815%
PolyBuzz: Chat with AI Friends,11814286,-1099999.9999999944,-8.517699115044202%
Solitaire Associations Journey,11728571,-1299999.9999999963,-9.97807017543857%
Zen Word® - Relax Puzzle Game,11142857,-1171428.5714285783,-9.512761020881722%
Tile Explorer - Triple Match,9642857,-728571.428571431,-7.024793388429775%
ReelShort - Stream Drama & TV,8485714,-657142.8571428545,-7.187499999999973%
Jigsawscapes® - Jigsaw Puzzles,8357143,-2185714.2857142854,-20.73170731707317%
Pocket FM: Audio Series,8328571,1042857.1428571455,14.313725490196113%
Arrow Out,7228571,171428.57142856997,2.4291497975708296%
TextNow: Call + Text Unlimited,6842857,-314285.7142857136,-4.391217564870249%
Candy Crush Soda Saga,6757143,57142.85714285448,0.8528784648187238%
Words of Wonders: Crossword,6657143,-114285.71428571362,-1.6877637130801588%
Crossword Go!,6500000,814285.7142857183,14.321608040201086%
zeta - Create Your Own Story,6471429,1485714.2857142854,29.799426934097415%
"GoodNovel - Booktok, Stories",6428571,242857.1428571418,3.926096997690514%
DramaWave - Dramas & Reels,6328571,1385714.2857142854,28.03468208092485%
