Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[iOS]; Country[Norway]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Woodoku - Wood Block Puzzles,1742857,-585714.2857142861,-25.153374233128847%
Grindr - Gay Dating & Chat,1285714,-128571.42857142887,-9.090909090909111%
Meowdoku!,1100000,-100000.00000000023,-8.33333333333335%
Words of Wonders: Crossword,914286,-585714.2857142858,-39.04761904761905%
Happy Color by Numbers Game,814286,114285.71428571432,16.326530612244905%
Sudoku.com - Number Games,785714,57142.85714285716,7.843137254901964%
Flashscore: Live Scores & News,742857,-200000.00000000012,-21.212121212121225%
Offline Games - No Wifi Games,714286,-57142.857142857625,-7.407407407407469%
Jodel: Hyperlocal Community,700000,28571.42857142852,4.255319148936163%
Zen Color - Color By Number,700000,-285714.2857142859,-28.985507246376827%
Letterboxd,614286,142857.14285714272,30.303030303030273%
Paper.io 2,500000,-0.00000000005820766091346741,-1.1641532182693484E-14%
Grocery List - Listonic,485714,71428.57142857142,17.241379310344826%
Vita Mahjong,442857,-157142.8571428574,-26.190476190476225%
Jigsaw Puzzles for Adults HD,385714,42857.14285714284,12.499999999999995%
Sudoku - Brain Puzzle Games,342857,14285.714285714377,4.347826086956551%
Blockudoku - Block Puzzle Game,314286,85714.28571428571,37.49999999999999%
Wattpad - Read & Write Stories,314286,128571.42857142852,69.2307692307692%
Nonogram.com - Number Games,314286,-157142.8571428571,-33.33333333333333%
SoundCloud: The Music You Love,300000,-42857.14285714284,-12.499999999999993%
Brilliant Sort™ Diamond Puzzle,300000,185714.2857142857,162.5%
FUTBIN FC 26 Evolutions & More,285714,-42857.142857142724,-13.043478260869529%
Jigsawcard Solitaire Puzzle,271429,-285714.2857142857,-51.28205128205127%
liverpool.no,271429,-28571.42857142852,-9.523809523809508%
Ludo Club・Fun Dice Board Game,271429,-242857.14285714278,-47.22222222222222%
proff.no,257143,185714.28571428574,260.0%
Point Out: Color Escape Puzzle,242857,-57142.85714285713,-19.047619047619044%
dailymotion.com,228571,171428.57142857142,299.99999999999994%
CHAI: Social AI Platform- Chat,200000,57142.85714285716,40.000000000000014%
Tile Explorer: Tiles Clear!,185714,85714.28571428572,85.71428571428571%
▻Sudoku,185714,-214285.7142857141,-53.57142857142855%
Solitaire Associations Journey,185714,-199999.99999999983,-51.851851851851826%
BitLife - Life Simulator,185714,-28571.42857142858,-13.333333333333336%
Number Match - Numbers Game,185714,85714.28571428574,85.71428571428575%
Color by Number：Coloring Games,185714,-42857.14285714287,-18.750000000000004%
Soccer Superstar,171429,-42857.14285714287,-20.000000000000004%
boredpanda.com,171429,28571.42857142858,20.000000000000007%
