Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[Android]; Country[Spain]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
Warning: Data truncated to top 5000 records
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Vita Mahjong,45342857,11585714.285714336,34.32077867118087%
Candy Crush Saga,14700000,-4857142.857142851,-24.835646457268044%
Tile Explorer - Triple Match,14528571,1957142.8571428582,15.568181818181825%
as.com,14371429,-3485714.28571428,-19.519999999999964%
Grindr - Gay Dating & Chat,10500000,-3314285.714285707,-23.991726990692815%
Wallapop - Sell & Buy,9657143,485714.28571429104,5.2959501557632995%
Block Blast!,9357143,-4228571.428571425,-31.125131440588827%
Meowdoku: Brain Puzzle Games,8442857,-814285.7142857164,-8.796296296296317%
Words of Wonders: Crossword,7671429,514285.7142857155,7.185628742514984%
Emochi: Chat With Character,7128571,1885714.2857142873,35.96730245231611%
Tile Club - Match Puzzle Games,6757143,-671428.5714285718,-9.03846153846154%
PolyBuzz: Chat with AI Friends,6028571,514285.7142857127,9.32642487046629%
Farm Heroes Saga,5614286,-3685714.285714292,-39.63133640553%
Vinted: Shop & sell pre-loved,5400000,685714.2857142827,14.545454545454477%
Candy Crush Soda Saga,4714286,-1014285.7142857136,-17.705735660847868%
Sudoku - Classic Sudoku Puzzle,4571429,-414285.71428571455,-8.309455587392558%
Arrows GO!,4371429,2199999.9999999977,101.31578947368406%
Goods Puzzle: Sort Challenge™,4142857,200000.0000000014,5.072463768115981%
Happy Color®: Color by Number,4014286,971428.5714285718,31.924882629108016%
Mahjong Blast,4000000,-742857.1428571437,-15.662650602409654%
CallApp: Caller ID & Block,3928571,1342857.1428571395,51.933701657458414%
marca.com,3914286,157142.85714285588,4.182509505703389%
Parchisi STAR Online,3885714,-742857.1428571474,-16.04938271604948%
Weather Radar - Meteored News,3757143,-1942857.1428571441,-34.08521303258147%
Wattpad - Read & Write Stories,3685714,-842857.1428571423,-18.611987381703464%
cronista.com,3585714,-142857.14285714366,-3.8314176245210954%
"Character AI: Chat, Talk, Text",3371429,199999.99999999814,6.306306306306249%
Solitaire Associations Journey,3300000,728571.4285714286,28.333333333333336%
Word Crack: Board Fun Game,3242857,671428.5714285704,26.111111111111075%
Flashscore: Live Scores & News,3200000,-1771428.5714285704,-35.63218390804597%
Pocket FM: Audio Series,3085714,557142.8571428559,22.033898305084694%
DramaBox - Stream Drama Shorts,3028571,-28571.428571429104,-0.9345794392523538%
Word Search Explorer,2771429,514285.7142857127,22.7848101265822%
"GoodNovel - Booktok, Stories",2742857,1599999.9999999993,139.99999999999994%
Sudoku.com - Classic Sudoku,2628571,500000.00000000093,23.489932885906082%
Toy Blast,2500000,-214285.71428571362,-7.894736842105239%
Solitaire - Classic Card Games,2342857,-699999.9999999972,-23.004694835680674%
elpais.com,2271429,-1500000.0,-39.77272727272727%
Wool Crush™,2257143,-185714.2857142859,-7.602339181286556%
Toon Blast,2242857,-785714.2857142845,-25.94339622641506%
Number Match - Number Games,2200000,714285.7142857143,48.076923076923066%
Arrows – Puzzle Escape,2185714,-614285.7142857141,-21.938775510204078%
Radio FM España,2171429,957142.8571428573,78.8235294117647%
amomama.es,2171429,1014285.7142857148,87.65432098765437%
Jigsawcard Solitaire Puzzle,2100000,785714.2857142866,59.782608695652236%
Color Slide - Hexa Puzzle,1971429,-814285.7142857146,-29.230769230769237%
BeSoccer: Soccer Live Score,1971429,-685714.2857142852,-25.80645161290321%
sport.es,1914286,-542857.1428571423,-22.09302325581393%
Jigsawscapes® - Jigsaw Puzzles,1842857,614285.7142857146,50.00000000000001%
DramaWave - Dramas & Reels,1828571,528571.4285714296,40.659340659340735%
3D Bolt Master®: Screw Master®,1814286,-57142.85714285751,-3.0534351145038356%
playus: Daily Group Challenge,1785714,-342857.14285714226,-16.10738255033554%
Snake Escape,1785714,-314285.7142857143,-14.965986394557822%
Solitaire,1742857,228571.4285714291,15.094339622641533%
Classic Dominoes: Dominos Game,1728571,-914285.7142857141,-34.59459459459458%
Tile Vacation - Triple Match,1714286,128571.42857142887,8.108108108108125%
Podcast & Radio iVoox,1714286,328571.42857142887,23.711340206185586%
Find Hidden Objects - Spot It!,1671429,-157142.85714285658,-8.593749999999968%
My Perfect Hotel,1671429,28571.428571428405,1.7391304347825984%
Woodle Screw™ Pin Nuts & Bolts,1614286,-357142.8571428568,-18.115942028985486%
Jewel Coloring,1614286,299999.99999999977,22.826086956521713%
NetShort - Popular Dramas & TV,1557143,300000.00000000023,23.863636363636378%
Little Farm Story: Idle Tycoon,1528571,-171428.57142857136,-10.08403361344537%
Mahjong Club - Solitaire Game,1514286,299999.99999999953,24.70588235294112%
Nova Launcher: Home Screen,1485714,400000.00000000023,36.84210526315791%
mundodeportivo.com,1485714,585714.2857142861,65.07936507936512%
Zen Word® - Relax Puzzle Game,1471429,157142.8571428575,11.95652173913046%
Tile Clear - Puzzle Game,1385714,357142.85714285774,34.722222222222285%
cadenaser.com,1371429,128571.4285714284,10.344827586206879%
LOVOO - Dating App & Chat App,1357143,28571.428571428172,2.150537634408571%
Woodoku - Wood Block Puzzle,1357143,157142.85714285704,13.095238095238082%
Block Crush!,1357143,-814285.714285715,-37.50000000000002%
Goods Rush! 3D Sort Puzzle,1342857,-28571.42857142887,-2.083333333333355%
elmundo.es,1328571,-799999.9999999995,-37.58389261744964%
Pixel Flow!,1328571,257142.85714285704,23.99999999999999%
elperiodico.com,1300000,400000.0000000001,44.444444444444464%
Moovit: Your Transit Tracker,1285714,300000.00000000035,30.43478260869569%
Pocket Sort: Coin Merge Puzzle,1257143,-300000.0,-19.266055045871553%
Unknown,1257143,328571.4285714291,35.38461538461545%
Buenovela - Webnovel & Stories,1257143,-714285.7142857146,-36.23188405797103%
TuneIn Radio: Music & Sports,1200000,214285.71428571432,21.739130434782613%
FreeReels - Dramas & Reels,1185714,400000.00000000035,50.90909090909095%
Goods Puzzle: 3D Sorting Games,1185714,-385714.2857142859,-24.545454545454547%
Tile Park,1157143,271428.5714285715,30.645161290322584%
Tap Tile!,1142857,257142.8571428575,29.03225806451617%
Bubble Shooter - Classic Pop,1142857,185714.28571428556,19.402985074626844%
ReelShort - Stream Drama & TV,1142857,-942857.1428571434,-45.20547945205481%
Offline Games - No Wifi Games,1100000,-828571.4285714291,-42.96296296296297%
es.wallapop.com,1071429,257142.8571428575,31.578947368421094%
milanuncios.com,1071429,814285.7142857144,316.66666666666674%
elperiodicomediterraneo.com,1071429,514285.7142857142,92.30769230769229%
Badoo Dating App: Meet & Date,1071429,99999.99999999988,10.294117647058814%
Food Sort: Puzzle Game,1028571,-314285.71428571467,-23.40425531914896%
huffingtonpost.es,1028571,28571.42857142887,2.8571428571428883%
Bus Traffic Fever!,1014286,228571.42857142875,29.09090909090912%
weloversize.com,1014286,228571.4285714284,29.090909090909065%
Top Eleven Be a Soccer Manager,1014286,-57142.857142857276,-5.333333333333346%
Video Downloader,1000000,-271428.5714285716,-21.348314606741585%
Investing.com: Stock Market,957143,942857.1428571431,6600.000000000002%
Crossword Master - Word Puzzle,957143,28571.428571428405,3.0769230769230584%
Geometry Dash Lite,942857,-257142.8571428575,-21.428571428571455%
Block Away - Tap Out Puzzle,928571,342857.1428571434,58.53658536585378%
lecturas.com,928571,-314285.71428571444,-25.287356321839088%
Tile Match puzzle - Tiletopia,928571,-171428.571428571,-15.584415584415549%
Trivia Crack: Brain Quiz Games,928571,100000.0,12.068965517241379%
eldiario.es,900000,-185714.28571428568,-17.105263157894733%
elconfidencial.com,900000,-314285.71428571444,-25.88235294117648%
Goods Sort Match - Sorting Fun,885714,-100000.0,-10.144927536231881%
open.apexnews.com,885714,685714.2857142858,342.85714285714283%
larazon.es,885714,-371428.5714285718,-29.54545454545457%
Jigsort®: Solitaire,871429,-14285.714285714086,-1.612903225806429%
Arrow Out,871429,-171428.57142857136,-16.438356164383553%
Zen Color - Color By Number,842857,-600000.0000000001,-41.584158415841586%
Sudoku Game - Daily Puzzles,842857,-571428.571428572,-40.40404040404042%
GoodShort - Short Dramas Hub,842857,-571428.571428572,-40.40404040404043%
elespanol.com,828571,-14285.714285714203,-1.694915254237278%
abc.es,828571,200000.0,31.81818181818182%
Tower War - Tactical Conquest,828571,-57142.85714285716,-6.45161290322581%
xataka.com,814286,442857.142857143,119.23076923076931%
Arrow Puzzle: Tap Puzzle Games,800000,57142.857142857276,7.692307692307711%
Click X,800000,57142.85714285716,7.692307692307697%
Color Block: Combo Blast,800000,85714.28571428568,11.999999999999995%
Grill Sort,785714,-371428.57142857125,-32.098765432098745%
Spider Solitaire - Card Games,785714,200000.00000000047,34.14634146341472%
Goods Sort™ - Sorting Games,785714,-85714.2857142858,-9.8360655737705%
