Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[iOS]; Country[Turkey]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Block Blast！,54500000,7599999.999999948,16.204690831556388%
M Scores | Mackolik Live Score,36657143,-16800000,-31.427044361304123%
Words of Wonders: Crossword,33928571,-114285.71428573132,-0.335711288292119%
Solitaire Associations Journey,24800000,1528571.4285714217,6.568446899938581%
Mynet Haber - Son Dakika,20800000,2885714.2857142873,16.10845295055822%
nefisyemektarifleri.com,17985714,-3842857.142857142,-17.60471204188481%
sahibinden #AlSatKiralaKesfet,10257143,-3314285.7142857183,-24.42105263157897%
Moovit: Bus & Transit Tracker,8514286,4371428.571428566,105.51724137931022%
Vita Mahjong,5628571,585714.2857142845,11.614730878186947%
Goods Puzzle: Sort Challenge,5042857,242857.14285714552,5.059523809523868%
XMEye,4971429,28571.428571428172,0.5780346820809168%
"Character AI: Chat, Talk, Text",4971429,1685714.2857142854,51.30434782608695%
Azan Time Pro: Holy Quran,4942857,1371428.5714285746,38.4000000000001%
Sudoku - Brain Puzzle Games,4828571,928571.4285714286,23.809523809523814%
sozcu.com.tr,4771429,-785714.2857142882,-14.138817480719837%
letgo: İkinci El Al ve Sat,4514286,-1599999.9999999981,-26.168224299065397%
sondakika.com,4471429,814285.714285715,22.265625000000025%
hurriyet.com.tr,4357143,-42857.14285714179,-0.97402597402595%
Colony Flow!,4357143,-442857.14285714366,-9.226190476190494%
mynet.com,4300000,1114285.714285716,34.977578475336394%
Letterboxd,4142857,-3228571.428571424,-43.79844961240306%
Tile Explorer: Tiles Clear!,4057143,1385714.2857142845,51.87165775401067%
Nefis Yemek Tarifleri,4000000,1114285.7142857132,38.61386138613857%
Ensonhaber,3871429,485714.285714285,14.34599156118141%
DWG FastView-CAD Viewer&Editor,3814286,1457142.8571428568,61.8181818181818%
ekşi,3814286,271428.57142856903,7.661290322580577%
VPN - Super Unlimited Proxy,3800000,557142.8571428577,17.180616740088126%
Paper.io 2,3728571,514285.71428571455,16.00000000000001%
Arrows – Puzzle Escape,3642857,542857.1428571413,17.511520737327142%
Wool Crush™-Escape Traffic Jam,3614286,757142.8571428573,26.500000000000014%
Screwdom,3585714,914285.7142857141,34.22459893048128%
Tubidy Fm Radio Music Player,3542857,-57142.857142856345,-1.5873015873015657%
Hornet - Gay Dating & Chat,3414286,742857.1428571418,27.807486631015998%
Block Craft 3D: Building Games,3285714,871428.57142857,36.09467455621296%
sikayetvar.com,3242857,300000.0,10.19417475728155%
Candy Crush Saga,3185714,1042857.1428571418,48.66666666666662%
forum.donanimhaber.com,3028571,914285.7142857127,43.243243243243164%
Flightradar24 | Flight Tracker,2828571,-285714.28571428545,-9.174311926605498%
Batak HD - İnternetsiz Batak,2814286,-557142.8571428577,-16.52542372881358%
eksisozluk.com,2685714,-1128571.4285714282,-29.5880149812734%
milliyet.com.tr,2657143,628571.4285714277,30.98591549295768%
Zen Word® - Relax Puzzle Game,2642857,42857.142857143655,1.6483516483516794%
atv.com.tr,2514286,1914285.7142857146,319.0476190476191%
Wood Block Puzzle Games,2485714,242857.14285714272,10.828025477706996%
Crossword: Arrowword,2257143,471428.57142857136,26.399999999999984%
poki.com,2257143,-985714.2857142859,-30.396475770925115%
Yarn Fever! Unravel Puzzle,2242857,-342857.1428571413,-13.259668508287241%
imo-International Calls & Chat,2242857,942857.1428571432,72.52747252747255%
Meitu AI Photo & Video Editor,2242857,599999.9999999998,36.52173913043475%
Color Block Jam,2242857,414285.7142857129,22.656249999999915%
Block Crush！,2100000,485714.28571428545,30.0884955752212%
onedio.com,2071429,-1114285.7142857143,-34.97757847533631%
fotomac.com.tr,2057143,471428.5714285725,29.729729729729797%
DramaWave - Dramas & Reels,2028571,671428.5714285716,49.47368421052631%
bigpara.hurriyet.com.tr,2014286,942857.1428571439,88.00000000000009%
Bubble Shooter: Pop & Blast,2014286,57142.85714285704,2.9197080291970745%
Sudoku.com - Number Games,1971429,-271428.57142857113,-12.101910828025462%
Offline Games - No Wifi Games,1900000,199999.99999999977,11.76470588235292%
My Supermarket Simulator 3D®,1900000,57142.85714285751,3.1007751937984698%
tripadvisor.com.tr,1871429,-42857.14285714249,-2.2388059701492344%
Litmatch - Make new friends,1871429,514285.7142857143,37.89473684210525%
Zen Color - Color By Number,1857143,471428.5714285716,34.02061855670103%
"Picsart AI Photo Editor, Video",1828571,157142.8571428568,9.401709401709375%
tr.investing.com,1814286,1442857.1428571434,388.4615384615387%
Associate Words -Solitaire Fun,1771429,428571.42857142934,31.914893617021324%
Color by Number：Coloring Games,1742857,-185714.28571428568,-9.629629629629624%
haberler.com,1728571,-199999.99999999977,-10.370370370370356%
Hotpot Loop: Food Sort,1700000,457142.8571428575,36.78160919540233%
Sözcü Gazetesi - Haberler,1657143,-228571.42857142887,-12.121212121212132%
Search It - Hidden Objects,1657143,-42857.142857142724,-2.521008403361337%
Brilliant Sort™ Diamond Puzzle,1657143,-57142.85714285751,-3.3333333333333544%
fanatik.com.tr,1642857,-799999.9999999984,-32.74853801169586%
Bus Traffic Fever!,1614286,585714.2857142868,56.944444444444564%
Kelime Gezmece,1600000,500000.0,45.454545454545446%
yenicaggazetesi.com,1585714,-14285.714285714086,-0.89285714285713%
Mahjong Blast,1557143,328571.42857142864,26.74418604651163%
m.doviz.com,1528571,985714.285714286,181.5789473684211%
Hornet Stories,1514286,-171428.57142857113,-10.169491525423709%
State.io - Conquer the World,1500000,371428.5714285716,32.9113924050633%
Woodle Screw™ Pin Nuts & Bolts,1485714,257142.8571428575,20.930232558139558%
Happy Mom • Hamilelik Takibi,1485714,228571.42857142864,18.181818181818183%
Dream League Soccer 2026,1442857,142857.14285714296,10.98901098901099%
Subway Surfers,1442857,-28571.428571428638,-1.9417475728155373%
Wattpad - Read & Write Stories,1428571,157142.85714285704,12.359550561797741%
Sofascore: Live Sports Scores,1400000,-585714.2857142859,-29.49640287769784%
m.sinemalar.com,1371429,-657142.857142858,-32.39436619718312%
Widgetable: Besties & Couples,1328571,342857.1428571432,34.7826086956522%
transfermarkt.com.tr,1328571,242857.14285714296,22.36842105263159%
My Perfect Hotel,1314286,-142857.1428571425,-9.803921568627425%
Jigsaw Puzzles - Puzzle Games,1257143,285714.2857142859,29.411764705882366%
cumhuriyet.com.tr,1228571,85714.28571428615,7.500000000000038%
Alarmy - Loud alarm clock,1214286,-28571.428571428638,-2.298850574712649%
Flashscore: Live Scores & News,1214286,-171428.57142857206,-12.371134020618598%
Tile Club - Matching Game,1200000,228571.428571429,23.529411764705923%
t24.com.tr,1185714,-214285.71428571432,-15.30612244897959%
Jewel Coloring,1185714,-314285.71428571455,-20.952380952380967%
Tower War - Tactical Conquest,1142857,228571.4285714291,25.000000000000064%
Happy Screw Trip 3D,1142857,385714.28571428603,50.94339622641515%
InShot - Video Editor,1142857,385714.2857142859,50.943396226415125%
canlidoviz.com,1128571,857142.8571428574,315.7894736842106%
Pocket Sort: Coin Merge Puzzle,1128571,257142.85714285728,29.508196721311492%
haber.mynet.com,1114286,-314285.7142857143,-21.999999999999996%
Number Match - Numbers Game,1114286,314285.71428571467,39.28571428571434%
Webaslan - GS 1905 Haber,1114286,628571.4285714286,129.4117647058824%
Goods Jam: Goods Sorting,1085714,414285.71428571444,61.70212765957448%
Kelimelik,1085714,-28571.428571428405,-2.564102564102549%
sahibinden.com,1057143,128571.4285714284,13.846153846153825%
yemek.com,1042857,-128571.42857142864,-10.975609756097564%
Blockudoku - Block Puzzle Game,1042857,357142.8571428575,52.083333333333414%
BlindID: Live & Group Chat,1042857,-242857.1428571432,-18.88888888888891%
Video Lite,1028571,442857.1428571432,75.60975609756106%
repertuarim.com,1028571,-114285.7142857142,-9.999999999999993%
Paint by Number Coloring Game,1028571,14285.714285714203,1.408450704225344%
BeautyPlus-Selfie Photo Editor,1014286,342857.14285714284,51.06382978723404%
Woodoku - Wood Block Puzzles,1000000,28571.42857142887,2.9411764705882666%
Bricks Breaker Quest,1000000,199999.99999999988,24.99999999999999%
birgun.net,985714,-1171428.5714285723,-54.30463576158942%
Words of Wonders: Guru,985714,-157142.8571428575,-13.75000000000003%
Soccer Superstar,971429,271428.5714285715,38.77551020408164%
iCSee,942857,342857.14285714296,57.14285714285717%
cnnturk.com,942857,14285.714285714203,1.5384615384615294%
101 Okey Plus Rummy Board Game,928571,-57142.857142857625,-5.79710144927541%
Happy Color by Numbers Game,928571,-514285.714285715,-35.64356435643568%
Çengel,928571,-28571.428571428638,-2.9850746268656794%
m.sabah.com.tr,914286,-271428.57142857194,-22.89156626506027%
genius.com,914286,-171428.57142857183,-15.789473684210558%
Racing in Car 2021,914286,-600000.0000000006,-39.62264150943399%
NetShort - Popular Dramas & TV,900000,42857.14285714307,5.000000000000026%
Jigsaw Drop: Solitaire Puzzle,900000,342857.14285714284,61.53846153846155%
Bus Escape: Traffic Jam,885714,242857.14285714307,37.77777777777781%
OKOK·International,885714,185714.28571428568,26.53061224489795%
Point Out: Color Escape Puzzle,857143,142857.14285714284,19.999999999999996%
Maze Escape: Block Puzzle,842857,400000.00000000035,90.3225806451614%
Hexa Away,842857,14285.714285714086,1.7241379310344582%
Word Search Explorer®,842857,-142857.14285714307,-14.492753623188428%
Color Cube Match: Sort Puzzle,828571,214285.71428571432,34.88372093023256%
Head Ball 2 - Soccer Game,814286,-385714.2857142859,-32.14285714285715%
Son Dakika,814286,42857.14285714296,5.55555555555557%
Peachy - AI Face & Body Editor,800000,500000.00000000023,166.66666666666674%
Mahjong Jam: Tile Match,785714,271428.5714285717,52.77777777777784%
havadurumu15gunluk.xyz,785714,-885714.2857142865,-52.991452991453016%
Backgammon - Board Games,785714,-142857.14285714284,-15.384615384615383%
lyricstranslate.com,771429,-228571.42857142852,-22.85714285714285%
Brick Blast - Ball Breaker,771429,-28571.428571428405,-3.571428571428551%
Hay Day,771429,585714.2857142857,315.3846153846153%
Magic Sort!,757143,257142.8571428575,51.42857142857152%
Ludo Club・Fun Dice Board Game,757143,-328571.42857142864,-30.26315789473685%
Jigsawcard Solitaire Puzzle,757143,414285.7142857141,120.83333333333329%
Screw All Out - Jam Master,742857,171428.5714285716,30.00000000000004%
Snake Clash!,742857,-28571.428571428405,-3.703703703703683%
technopat.net,728571,42857.14285714284,6.249999999999995%
halktv.com.tr,728571,-71428.57142857136,-8.92857142857142%
odatv.com,728571,200000.00000000023,37.8378378378379%
"Batak - Tekli, Eşli, Koz Maça",714286,157142.85714285716,28.205128205128208%
1355464544,714286,285714.2857142857,66.66666666666667%
Words of Wonders: Search,714286,200000.00000000006,38.888888888888914%
Crossword Go!,714286,185714.28571428568,35.13513513513514%
101 Okey HD-İnternetsiz YüzBir,685714,-257142.85714285693,-27.272727272727256%
goal.com,685714,200000.00000000023,41.17647058823536%
Crostic Crossword－Word Puzzles,685714,114285.7142857142,19.999999999999986%
DramaBox - Stream Drama Shorts,685714,142857.14285714272,26.31578947368419%
Nonogram.com - Number Games,685714,185714.2857142855,37.14285714285711%
kadinlarkulubu.com,685714,-28571.42857142887,-4.000000000000042%
Period Tracker - Pepapp,671429,157142.85714285716,30.555555555555564%
Color Block: Jam Puzzle 3D,657143,328571.4285714286,100.0%
Amaze GO!,657143,171428.5714285713,35.29411764705881%
Tureng Dictionary,642857,-28571.428571428987,-4.255319148936231%
"Sporx - Spor Haber, Canlı Skor",628571,271428.5714285716,76.00000000000007%
Mini Soccer Star 2026,628571,128571.42857142858,25.71428571428572%
