Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[Android]; Country[Switzerland]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Vita Mahjong,6028571,1585714.2857142892,35.69131832797437%
Block Blast!,4257143,885714.2857142845,26.271186440677933%
Mahjong Blast,2357143,542857.1428571416,29.92125984251959%
Solitaire - Classic Card Games,1585714,185714.28571428615,13.265306122449005%
Solitaire Associations Journey,1428571,114285.71428571478,8.695652173913079%
Meowdoku: Brain Puzzle Games,1400000,300000.00000000023,27.272727272727295%
Block Crush!,1185714,228571.4285714291,23.880597014925424%
Candy Crush Saga,1171429,171428.5714285716,17.14285714285716%
Grindr - Gay Dating & Chat,1142857,-585714.2857142864,-33.88429752066118%
Words of Wonders: Crossword,1071429,228571.42857142875,27.118644067796634%
Arrows – Puzzle Escape,971429,-728571.4285714293,-42.85714285714289%
Happy Color®: Color by Number,957143,-171428.57142857183,-15.189873417721554%
Sudoku - Classic Sudoku Puzzle,942857,-114285.71428571409,-10.810810810810793%
Woodoku - Wood Block Puzzle,900000,-28571.428571428405,-3.0769230769230593%
Arrows GO!,857143,0.00000000011641532182693481,1.3581787546475731E-14%
Tile Explorer - Triple Match,828571,-299999.99999999965,-26.582278481012633%
Tile Club - Match Puzzle Games,757143,-28571.428571428172,-3.6363636363635856%
Emochi: Chat With Character,628571,57142.85714285704,9.999999999999984%
Tidy X,614286,242857.14285714267,65.38461538461534%
QuizDuel! Quiz & Trivia Game,600000,42857.14285714307,7.692307692307737%
Pixel Flow!,585714,185714.28571428574,46.42857142857146%
Zen Word® - Relax Puzzle Game,557143,142857.14285714278,34.48275862068964%
Jigsawscapes® - Jigsaw Puzzles,542857,71428.57142857125,15.151515151515115%
Wool Crush™,514286,71428.57142857125,16.12903225806448%
Goods Puzzle: Sort Challenge™,485714,142857.14285714272,41.666666666666636%
Click X,471429,-71428.5714285713,-13.157894736842088%
Pocket FM: Audio Series,457143,128571.42857142846,39.130434782608674%
Tower War - Tactical Conquest,442857,99999.99999999988,29.166666666666636%
imo-International Calls & Chat,428571,171428.57142857133,66.66666666666663%
Radio Swiss - radio online,428571,228571.42857142843,114.2857142857142%
DramaWave - Dramas & Reels,428571,28571.42857142852,7.142857142857132%
SwissJass+,414286,-28571.42857142858,-6.4516129032258105%
Mahjong Master: Daily Match,400000,42857.14285714284,11.999999999999995%
Arrow Out,400000,-85714.28571428574,-17.647058823529424%
Mahjong Club - Solitaire Game,400000,-214285.7142857145,-34.883720930232585%
"Character AI: Chat, Talk, Text",385714,57142.85714285716,17.391304347826093%
Screwdom 3D,385714,128571.42857142843,49.999999999999936%
20 Minuten - Nachrichten,371429,100000.0,36.8421052631579%
Snake Escape,371429,42857.1428571429,13.04347826086958%
Candy Crush Soda Saga,371429,-57142.85714285716,-13.333333333333341%
Color Slide - Hexa Puzzle,371429,-42857.1428571429,-10.34482758620691%
LOVOO - Dating App & Chat App,357143,0.00000000005820766091346741,1.629814505577088E-14%
Click Wood,357143,57142.85714285704,19.047619047619015%
Spider Solitaire - Card Games,357143,71428.5714285713,24.999999999999954%
"9GAG: Funny GIF, Meme & Video",342857,-28571.42857142858,-7.692307692307695%
Shape Escape: Block Puzzle,342857,-185714.28571428562,-35.13513513513513%
Solitaire,342857,-185714.2857142855,-35.135135135135116%
Toon Blast,328571,-157142.85714285698,-32.352941176470566%
Opera Mini: Fast Web Browser,328571,100000.0,43.75%
Soccer Superstar,328571,-185714.28571428562,-36.11111111111111%
Sudoku.com - Classic Sudoku,314286,-100000.0,-24.13793103448276%
Word Search Explorer,314286,-28571.42857142852,-8.33333333333332%
DramaBox - Stream Drama Shorts,300000,-57142.857142856985,-15.999999999999961%
Scrabble® GO – Fun with Words!,300000,28571.42857142852,10.526315789473664%
ReelShort - Stream Drama & TV,285714,-28571.42857142852,-9.090909090909076%
Wattpad - Read & Write Stories,285714,-28571.42857142852,-9.090909090909076%
Flashscore: Live Scores & News,285714,-700000.0,-71.01449275362319%
3D Bolt Master®: Screw Master®,271429,-42857.14285714284,-13.636363636363628%
Double Tile!,271429,42857.14285714287,18.750000000000004%
Offline Games - No Wifi Games,271429,71428.57142857145,35.714285714285715%
Spider Solitaire: Card Games,271429,42857.14285714287,18.750000000000004%
Truecaller: Spam Call Blocker,271429,128571.42857142861,90.00000000000001%
Pocket Sort: Coin Merge Puzzle,257143,-99999.99999999991,-27.99999999999998%
Block Away - Tap Out Puzzle,257143,128571.4285714286,100.0%
Bubble Shooter - Classic Pop,242857,57142.85714285716,30.769230769230777%
Flightradar24 Flight Tracker,242857,42857.14285714287,21.428571428571434%
Tile Vacation - Triple Match,242857,42857.14285714287,21.428571428571434%
Unscrew Frenzy 3D,228571,128571.4285714286,128.57142857142858%
Jigsawcard Solitaire Puzzle,228571,14285.71428571429,6.666666666666668%
"GoodNovel - Booktok, Stories",214286,42857.14285714287,25.000000000000007%
NetShort - Popular Dramas & TV,214286,28571.42857142858,15.384615384615389%
CodyCross: Crossword Puzzles,200000,14285.71428571429,7.692307692307694%
Tumblr: Social Media & Art,200000,57142.85714285716,40.000000000000014%
Food Hunt: Pixel Puzzle,200000,-71428.57142857145,-26.315789473684212%
Sudoku Game - Daily Puzzles,200000,-185714.28571428565,-48.14814814814813%
Tile Family®:Match Puzzle Game,185714,100000.00000000001,116.66666666666667%
Number Match - Number Games,185714,0.0,0.0%
Tile Match puzzle - Tiletopia,185714,71428.57142857145,62.500000000000014%
PolyBuzz: Chat with AI Friends,185714,42857.14285714287,30.000000000000007%
Tile Home-Match Puzzle Games,185714,14285.71428571429,8.333333333333336%
Clockmaker: Jewel Match 3 Game,185714,0.0,0.0%
Goods Puzzle: 3D Sorting Games,185714,14285.71428571429,8.333333333333336%
Ludo Club - Fun Dice Game,185714,-14285.71428571429,-7.142857142857144%
Snaptube,185714,114285.7142857143,160.00000000000003%
Drop Escape: Color Puzzle,185714,-85714.28571428574,-31.57894736842106%
Talkie: Creative AI Community,171429,42857.14285714287,33.33333333333334%
TuneIn Radio: Music & Sports,171429,-185714.2857142857,-51.99999999999999%
Sudoku Blast!,171429,42857.14285714287,33.33333333333334%
Screw Sort Puzzle: Pin Jam 3D,171429,85714.28571428572,100.0%
Hay Day,157143,128571.42857142858,450.0%
Little Farm Story: Idle Tycoon,157143,14285.71428571429,10.000000000000004%
Mahjong Triple - Match 3 Tile,157143,85714.28571428572,120.00000000000001%
imo HD - Video Calls and Chats,157143,42857.142857142855,37.49999999999999%
Unknown,157143,-42857.14285714287,-21.428571428571434%
Color Block Jam,157143,-42857.14285714287,-21.428571428571434%
SoundCloud: The Music You Love,157143,0.0,0.0%
Farm Heroes Saga,157143,-28571.42857142858,-15.384615384615389%
Finya Dating App: Match & Date,157143,-28571.42857142858,-15.384615384615389%
Jigsaw Drop: Solitaire Puzzle,142857,-28571.42857142858,-16.66666666666667%
Magic Sort!,142857,85714.28571428572,150.00000000000003%
Mahjong Crush: Sorting Jam,142857,-14285.71428571429,-9.090909090909093%
Scopa - Card Game Italian,142857,-14285.71428571429,-9.090909090909093%
Nonogram.com - Puzzle Games,142857,0.0,0.0%
Skip-Bo™: Solitaire Card Game,142857,42857.142857142855,42.85714285714285%
Solitaire.com - Classic Cards,142857,57142.857142857145,66.66666666666666%
Spider Solitaire,142857,-114285.71428571432,-44.44444444444445%
VPN - Super Unlimited Proxy,142857,-85714.28571428574,-37.50000000000001%
Word Garden : Crosswords,142857,28571.428571428565,24.99999999999999%
as.com,142857,28571.428571428565,24.99999999999999%
Blockudoku®: Block Puzzle Game,142857,100000.00000000001,233.3333333333334%
Brilliant Sort™ Diamond Puzzle,142857,-114285.71428571432,-44.44444444444445%
Color Aura: Paint by number,128571,28571.42857142858,28.571428571428577%
Piggy Escape: Pig Jam Farm,128571,-57142.857142857145,-30.769230769230766%
Yatzy - Fun Classic Dice Game,128571,14285.714285714304,12.500000000000016%
Sofascore: Live Sports Scores,128571,-57142.857142857145,-30.769230769230766%
Woodle Screw™ Pin Nuts & Bolts,128571,-42857.142857142855,-24.999999999999996%
4 Pics 1 Word,128571,100000.0,350.0%
Number Clash - Math Game,128571,57142.857142857145,80.0%
"Block Color Mania, Puzzle Game",128571,-28571.42857142858,-18.181818181818187%
Rakuten Viber Messenger,128571,42857.142857142855,49.99999999999999%
Tap Tile!,128571,28571.428571428565,28.57142857142856%
Geometry Dash Lite,128571,57142.857142857145,80.0%
Yatzy Classic,128571,28571.428571428565,28.57142857142856%
Goods Sort™ - Sorting Games,128571,28571.428571428565,28.57142857142856%
Top Eleven Be a Soccer Manager,128571,14285.714285714275,12.499999999999988%
Blick Nachrichten & Sport,114286,-57142.857142857145,-33.33333333333333%
Find Hidden Objects - Spot It!,114286,-57142.857142857145,-33.33333333333333%
Goods Rush! 3D Sort Puzzle,114286,0.000000000014551915228366852,1.2732925824820996E-14%
Hidden Object Games: Seek It,114286,0.000000000014551915228366852,1.2732925824820996E-14%
Mahjong Triple 3D - Tile Match,114286,-28571.428571428565,-19.999999999999993%
My Perfect Hotel,114286,-85714.2857142857,-42.85714285714285%
Woodoku Blast,114286,14285.71428571429,14.285714285714288%
Alarmy - Alarm Clock & Sleep,114286,-42857.142857142855,-27.27272727272727%
Wort Guru,114286,-42857.142857142855,-27.27272727272727%
Zen Blossom: Flower Tile Match,114286,-14285.714285714275,-11.111111111111102%
Car Jam Solver: Traffic Jam,114286,85714.28571428574,300.0000000000001%
Quotes Videos & Pictures,114286,-71428.57142857143,-38.46153846153846%
Color Block: Combo Blast,114286,42857.14285714287,60.000000000000014%
Cube Tap Sort,114286,100000.00000000001,700.0000000000001%
Everyday Puzzles: Mini Games,114286,-14285.714285714304,-11.111111111111125%
Mahjong Hybrid: Match & Relax,114286,-57142.85714285716,-33.33333333333334%
Block Puzzle,114286,57142.857142857145,100.0%
Vehicle Masters,114286,42857.142857142855,59.99999999999999%
Classic Words Solo,114286,-85714.28571428574,-42.85714285714287%
Jade Mahjong,114286,-28571.42857142858,-20.000000000000007%
Cookingo: Perfect Meal,114286,100000.0,700.0%
Goods Jam: Goods Sorting,114286,71428.57142857143,166.66666666666669%
Tap Color Pro: Color By Number,100000,14285.71428571429,16.66666666666667%
Tile Voyage:Match Puzzle,100000,42857.14285714287,75.00000000000003%
Unscrew: Screw Pin Jam Puzzle,100000,0.0,0.0%
Water Sort Puzzle - Sort Color,100000,0.0,0.0%
Word Galaxy Challenge,100000,85714.28571428572,600.0000000000001%
Words of Wonders: Zen,100000,57142.85714285716,133.3333333333334%
Yahoo Mail: Email & Planner,100000,85714.28571428572,600.0000000000001%
1 2 3 4 Player Games - Offline,100000,42857.14285714287,75.00000000000003%
Math Crossword — Number puzzle,100000,0.0,0.0%
Arrow Puzzle - Arrow Madness,100000,42857.14285714287,75.00000000000003%
Jigsolitaire,100000,0.0,0.0%
Arrow Puzzle: Tap Puzzle Games,100000,-71428.57142857143,-41.666666666666664%
Badoo Dating App: Meet & Date,100000,28571.42857142858,40.000000000000014%
Cell Survivor,100000,28571.42857142858,40.000000000000014%
Ball Sort Puzzle - Color Game,100000,14285.714285714304,16.66666666666669%
Crossword Jam,100000,-57142.857142857145,-36.36363636363636%
Differences - Find & Spot It,100000,28571.42857142858,40.000000000000014%
Dream Family - Match 3 Games,100000,85714.28571428572,600.0000000000001%
Goods 3D Sorting: Match Games,100000,14285.71428571429,16.66666666666667%
