Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[Android]; Country[Philippines]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
FreeReels - Dramas & Reels,62728571,11428571.42857141,22.277917014759062%
"GoodNovel - Booktok, Stories",11171429,5842857.142857149,109.65147453083124%
Vita Mahjong,9571429,4485714.285714284,88.20224719101117%
NetShort - Popular Dramas & TV,8185714,1085714.2857142873,15.29175050301813%
Wordscapes: Word puzzle game,5400000,3499999.999999999,184.2105263157894%
Pure Tuber: Video & MP3 Player,4400000,-285714.2857142845,-6.097560975609732%
Block Blast!,3971429,1871428.5714285667,89.11564625850309%
Tile Explorer - Triple Match,3785714,328571.4285714282,9.504132231404949%
Grindr - Gay Dating & Chat,2871429,1042857.1428571409,57.031249999999865%
GCash,2742857,928571.4285714275,51.18110236220465%
Scrabble® GO – Fun with Words!,2328571,1414285.714285714,154.68749999999994%
Sudoku - Classic Sudoku Puzzle,2285714,1185714.2857142861,107.7922077922078%
Arrows GO!,2285714,57142.85714285681,2.5641025641025488%
Zen Word® - Relax Puzzle Game,2214286,400000.0,22.047244094488185%
Easy Words - Word Puzzle Games,2014286,571428.5714285723,39.60396039603967%
Litmatch—Make new friends,2000000,-71428.57142857066,-3.448275862068927%
DramaBox - Stream Drama Shorts,1928571,57142.85714285751,3.0534351145038348%
Emochi: Chat With Character,1700000,71428.5714285709,4.3859649122806665%
Pocket FM: Audio Series,1685714,114285.71428571432,7.272727272727272%
Wool Crush™,1685714,900000.0000000003,114.54545454545458%
Art Puzzle - Puzzle Games,1628571,700000.0000000002,75.38461538461542%
Color Slide - Hexa Puzzle,1614286,657142.8571428572,68.65671641791045%
Find Hidden Objects - Spot It!,1571429,685714.2857142858,77.41935483870968%
GoodShort - Short Dramas Hub,1485714,28571.428571428405,1.9607843137254786%
Words of Wonders: Crossword,1471429,-342857.1428571432,-18.897637795275603%
Brain Puzzle 3: Crazy Mind,1471429,242857.14285714296,19.767441860465123%
"Character AI: Chat, Talk, Text",1457143,-128571.4285714284,-8.108108108108096%
Dootchi: Chat with AI Chars,1442857,-814285.7142857141,-36.0759493670886%
"SHAREit: Transfer, Share Files",1442857,-0.00000000023283064365386963,-1.6136777282941452E-14%
King Escape: King Castle,1428571,1257142.8571428573,733.3333333333335%
Color Block: Combo Blast,1414286,-57142.85714285704,-3.88349514563106%
Jewel Color Sort: Diamond Game,1371429,614285.714285715,81.13207547169822%
Tile Club - Match Puzzle Games,1357143,257142.85714285728,23.37662337662339%
DramaStream Launcher,1342857,371428.5714285718,38.2352941176471%
"Picsart AI Photo Editor, Video",1328571,528571.4285714291,66.07142857142865%
Wattpad - Read & Write Stories,1257143,-2157142.8571428573,-63.17991631799164%
PolyBuzz: Chat with AI Friends,1157143,-542857.1428571427,-31.932773109243687%
Talkie: Creative AI Community,1157143,371428.5714285716,47.272727272727295%
GreatShort,1157143,28571.428571428172,2.531645569620217%
Goods Puzzle: Sort Challenge™,1114286,257142.8571428574,30.000000000000036%
imo-International Calls & Chat,1071429,-14285.714285714552,-1.315789473684235%
Candy Crush Saga,1057143,342857.14285714284,48.0%
Arrows – Puzzle Escape,1042857,-57142.857142857276,-5.194805194805207%
Arrow Puzzle: Tap Puzzle Games,1028571,100000.0,10.769230769230772%
"BiliBili -HD Anime, Videos",971429,-614285.7142857146,-38.738738738738746%
DramaWave - Dramas & Reels,971429,14285.714285714086,1.492537313432815%
ReelShort - Stream Drama & TV,928571,-57142.85714285704,-5.797101449275353%
Yahoo Mail: Email & Planner,914286,257142.85714285716,39.13043478260871%
