Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[Android]; Country[Portugal]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Vita Mahjong,6528571,1471428.5714285718,29.09604519774013%
Flashscore: Live Scores & News,4400000,-4185714.2857142864,-48.75207986688853%
Grindr - Gay Dating & Chat,1857143,-414285.7142857141,-18.238993710691812%
DramaBox - Stream Drama Shorts,1600000,57142.85714285774,3.703703703703742%
PolyBuzz: Chat with AI Friends,1457143,-114285.71428571409,-7.272727272727258%
Tile Club - Match Puzzle Games,1285714,242857.14285714296,23.287671232876715%
Tile Explorer - Triple Match,1257143,-1014285.7142857139,-44.65408805031444%
Moovit: Your Transit Tracker,1071429,257142.85714285716,31.578947368421048%
Words of Wonders: Crossword,1028571,-200000.00000000047,-16.279069767441893%
Candy Crush Saga,900000,-1257142.8571428577,-58.27814569536425%
Emochi: Chat With Character,814286,157142.85714285716,23.91304347826087%
NetShort - Popular Dramas & TV,785714,-0.00000000011641532182693481,-1.4816495505246244E-14%
Meowdoku: Brain Puzzle Games,785714,-342857.1428571433,-30.37974683544307%
abola.pt,728571,-28571.42857142887,-3.7735849056604156%
"Character AI: Chat, Talk, Text",685714,-100000.0,-12.727272727272727%
DramaWave - Dramas & Reels,657143,-42857.14285714284,-6.122448979591834%
GoodShort - Short Dramas Hub,657143,-171428.57142857148,-20.6896551724138%
Word Connect,628571,71428.57142857136,12.820512820512814%
Arrows GO!,600000,257142.8571428571,75.0%
Block Blast!,557143,-42857.14285714261,-7.142857142857105%
Sudoku - Classic Sudoku Puzzle,557143,-142857.14285714296,-20.40816326530614%
CallApp: Caller ID & Block,542857,-285714.2857142857,-34.48275862068965%
"GoodNovel - Booktok, Stories",542857,342857.14285714284,171.4285714285714%
Mahjong Blast,542857,-157142.85714285728,-22.448979591836753%
Arrows – Puzzle Escape,542857,199999.99999999983,58.33333333333329%
Goods Puzzle: Sort Challenge™,528571,-28571.42857142852,-5.1282051282051215%
Vinted: Shop & sell pre-loved,514286,-1257142.8571428573,-70.96774193548387%
Solitaire - Classic Card Games,500000,14285.71428571426,2.9411764705882315%
Farm Heroes Saga,471429,-200000.00000000017,-29.787234042553212%
Candy Crush Soda Saga,471429,57142.8571428571,13.793103448275856%
ReelShort - Stream Drama & TV,457143,-71428.57142857142,-13.513513513513512%
Solitaire Associations Journey,457143,71428.57142857142,18.51851851851852%
Solitaire,442857,-85714.28571428568,-16.216216216216218%
Jigsawscapes® - Jigsaw Puzzles,428571,57142.85714285716,15.38461538461539%
FreeReels - Dramas & Reels,428571,14285.71428571426,3.44827586206896%
Weather Radar - Meteored News,400000,-157142.85714285722,-28.20512820512822%
Block Crush!,385714,71428.57142857136,22.72727272727271%
Tile Clear - Puzzle Game,371429,57142.85714285704,18.18181818181815%
Buenovela - Webnovel & Stories,357143,-242857.14285714278,-40.47619047619047%
Wattpad - Read & Write Stories,357143,-128571.42857142846,-26.4705882352941%
3D Bolt Master®: Screw Master®,342857,-42857.14285714284,-11.111111111111109%
Screwdom 3D,328571,257142.85714285722,360.00000000000006%
Tile Vacation - Triple Match,328571,57142.85714285716,21.052631578947377%
Solitaire.com - Classic Cards,328571,157142.85714285707,91.66666666666661%
Happy Color®: Color by Number,328571,-485714.28571428603,-59.64912280701756%
Woodoku - Wood Block Puzzle,314286,71428.57142857136,29.41176470588232%
Sofascore: Live Sports Scores,285714,-557142.8571428573,-66.10169491525426%
Zen Word® - Relax Puzzle Game,285714,71428.57142857142,33.33333333333332%
Jewel Coloring,285714,0.0,0.0%
Woodle Screw™ Pin Nuts & Bolts,285714,-0.00000000005820766091346741,-2.0372681319713592E-14%
Tap Tile!,271429,42857.14285714287,18.750000000000004%
Snake Escape,257143,85714.28571428574,50.000000000000014%
Word Connect - Words of Nature,257143,-71428.57142857133,-21.739130434782584%
Find Hidden Objects - Spot It!,257143,128571.4285714286,100.0%
OSM 25/26 Soccer Manager Game,257143,-57142.85714285713,-18.181818181818176%
Badoo Dating App: Meet & Date,242857,200000.00000000006,466.66666666666686%
Paint by Number: Coloring Game,214286,57142.85714285716,36.363636363636374%
Pocket Sort: Coin Merge Puzzle,214286,100000.00000000003,87.50000000000003%
Triple Tile: Match Puzzle Game,214286,100000.00000000001,87.5%
Spider Solitaire - Card Games,214286,-14285.71428571429,-6.250000000000001%
Tile Traveler,214286,-128571.42857142852,-37.499999999999986%
Solitaire - Classic Card Game,200000,71428.57142857143,55.55555555555555%
Wool Crush™,200000,-71428.57142857145,-26.315789473684212%
Top Eleven Be a Soccer Manager,200000,-214285.71428571412,-51.724137931034456%
Jigsawcard Solitaire Puzzle,200000,-85714.28571428571,-29.999999999999996%
Click Wood,185714,42857.14285714287,30.000000000000007%
Mahjong Club - Solitaire Game,185714,42857.14285714287,30.000000000000007%
Offline Games - No Wifi Games,185714,-171428.57142857136,-47.99999999999998%
Bubble Shooter - Classic Pop,185714,-71428.57142857145,-27.77777777777778%
Bus Traffic Fever!,185714,0.0,0.0%
Radio Portugal - FM Radio,185714,-57142.85714285716,-23.529411764705888%
"9GAG: Funny GIF, Meme & Video",185714,114285.71428571432,160.00000000000009%
Dream Family - Match 3 Games,171429,42857.142857142855,33.33333333333333%
Mini Soccer Star,171429,14285.71428571429,9.090909090909093%
